date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2007-04-14,58,257,66,5,189,2,45,156,6,50,2,209,15
2007-04-15,68,245,64,6,189,3,54,130,6,45,2,227,3
2007-04-16,78,230,89,5,164,1,43,115,9,28,5,256,8
2007-04-17,84,259,79,5,152,1,61,160,11,41,2,232,10
2007-04-18,53,192,51,1,162,1,44,163,7,44,3,232,10
2007-04-19,88,186,66,1,152,2,42,172,8,39,7,229,10
2007-04-20,106,263,56,2,190,2,45,182,10,43,2,295,12
2007-04-21,67,288,48,7,162,3,48,190,5,36,6,216,9
2007-04-22,93,322,50,6,184,2,49,125,22,35,5,198,7
2007-04-23,79,246,82,6,174,1,55,125,16,43,1,232,11
2007-04-24,82,224,81,6,131,1,44,142,16,40,4,214,13
2007-04-25,81,161,71,5,119,0,45,130,12,35,3,234,5
2007-04-26,57,177,67,3,106,3,60,133,6,30,2,207,10
2007-04-27,78,236,86,4,157,0,49,167,17,43,4,237,12
2007-04-28,85,272,42,4,185,0,40,189,9,56,9,240,13
2007-04-29,80,304,51,4,170,2,42,121,12,52,7,177,11
2007-04-30,94,221,67,5,136,0,48,160,9,52,10,233,12
2007-05-01,95,230,56,10,158,1,57,120,11,53,7,328,17
2007-05-02,91,235,65,1,141,1,46,181,9,44,6,241,9
2007-05-03,94,224,64,4,170,1,51,184,15,39,8,208,9
2007-05-04,77,241,69,5,176,0,53,163,21,49,5,239,11
2007-05-05,56,249,54,5,178,1,45,145,10,53,2,226,7
2007-05-06,79,293,47,5,199,0,38,89,7,46,7,172,5
2007-05-07,109,241,84,5,143,4,65,154,11,42,1,237,7
2007-05-08,104,236,59,3,168,1,40,186,12,44,4,207,15
2007-05-09,90,277,80,3,160,2,43,169,10,41,11,230,12
2007-05-10,102,248,71,3,172,2,54,154,19,38,11,228,10
2007-05-11,85,233,84,5,177,0,51,150,14,44,6,251,10
2007-05-12,74,230,57,6,197,0,54,119,11,54,3,227,11
2007-05-13,72,257,57,3,179,1,51,107,8,38,4,181,5
2007-05-14,92,270,89,7,170,1,49,150,13,49,7,240,7
2007-05-15,87,237,79,3,132,3,55,150,13,39,4,302,6
2007-05-16,92,214,77,0,133,0,46,188,7,37,7,249,11
2007-05-17,99,224,87,4,151,1,56,142,12,39,5,270,13
2007-05-18,82,259,67,2,190,0,58,154,12,40,4,283,10
2007-05-19,87,260,65,2,180,1,57,137,13,52,7,237,7
2007-05-20,86,276,67,4,152,2,56,107,5,35,6,206,8
2007-05-21,92,232,100,5,155,0,67,124,15,32,6,245,18
2007-05-22,82,267,82,3,139,2,40,147,8,42,3,258,10
2007-05-23,109,259,74,5,172,1,55,147,12,47,4,250,18
2007-05-24,104,305,81,7,161,0,45,170,12,35,7,255,9
2007-05-25,92,252,87,9,186,3,52,150,17,39,4,308,12
2007-05-26,58,221,57,7,168,3,53,131,7,35,2,226,16
2007-05-27,70,298,59,5,172,0,55,133,7,65,6,207,16
2007-05-28,87,333,62,4,193,1,47,133,14,40,2,212,10
2007-05-29,84,292,95,4,166,1,55,158,10,50,5,266,8
2007-05-30,110,250,73,1,169,0,50,157,12,41,5,239,14
2007-05-31,91,228,85,0,135,0,56,162,6,43,6,217,7
2007-06-01,72,236,73,16,145,3,65,178,15,44,18,391,12
2007-06-02,84,305,53,6,155,2,53,149,8,44,6,262,7
2007-06-03,84,322,50,3,156,1,65,128,10,35,6,201,6
2007-06-04,66,210,96,5,143,3,62,129,9,45,7,241,4
2007-06-05,84,181,77,4,137,2,52,165,10,50,5,234,10
2007-06-06,101,233,73,4,142,0,40,146,5,52,5,236,12
2007-06-07,79,253,75,3,163,2,42,150,9,31,13,213,12
2007-06-08,83,281,84,4,158,0,49,137,9,44,6,267,11
2007-06-09,95,300,54,4,147,1,43,155,16,33,6,233,5
2007-06-10,72,326,61,9,145,3,58,141,12,43,5,211,10
2007-06-11,78,262,81,9,160,3,59,145,16,54,2,240,10
2007-06-12,84,279,68,7,156,3,49,129,17,47,1,240,19
2007-06-13,75,210,85,3,174,1,48,145,14,37,10,257,12
2007-06-14,77,236,80,2,149,1,62,168,6,39,5,271,11
2007-06-15,95,285,93,6,140,0,67,145,14,45,6,303,14
2007-06-16,79,310,65,4,164,4,57,127,15,48,6,265,10
2007-06-17,78,363,53,6,170,2,55,107,13,51,6,235,13
2007-06-18,84,292,81,5,172,3,51,136,5,36,9,257,14
2007-06-19,76,237,80,2,147,1,54,141,7,45,5,277,9
2007-06-20,92,256,78,5,147,0,54,165,9,34,7,296,14
2007-06-21,101,239,62,4,178,2,53,151,12,51,3,288,7
2007-06-22,81,254,93,3,188,1,65,170,7,57,3,251,6
2007-06-23,72,248,59,2,157,0,47,137,4,65,1,223,12
2007-06-24,75,295,63,2,190,1,52,131,9,58,5,237,9
2007-06-25,83,222,77,1,154,2,48,145,13,46,3,254,10
2007-06-26,75,226,67,4,125,2,41,140,12,39,5,249,13
2007-06-27,83,222,89,3,162,2,58,161,5,47,3,251,6
2007-06-28,66,215,69,4,169,0,53,178,6,39,5,252,6
2007-06-29,67,222,77,6,160,1,72,197,13,51,7,256,8
2007-06-30,74,243,58,4,146,1,65,180,10,55,1,222,9
2007-07-01,90,269,64,16,192,1,56,155,16,49,9,327,13
2007-07-02,84,193,93,1,171,0,46,171,12,52,4,278,8
2007-07-03,79,199,60,6,128,4,48,159,11,54,7,287,7
2007-07-04,94,355,61,10,165,2,35,125,9,34,1,226,7
2007-07-05,95,317,65,6,172,3,54,145,7,48,3,246,14
2007-07-06,86,249,87,5,163,0,51,154,11,48,9,282,8
2007-07-07,95,309,58,3,157,0,54,133,6,58,3,256,8
2007-07-08,88,288,54,4,164,5,56,138,12,59,12,222,9
2007-07-09,88,221,83,5,141,3,50,158,5,60,3,255,8
2007-07-10,78,207,80,0,150,0,60,161,10,49,6,288,10
2007-07-11,79,203,66,5,173,0,52,183,3,43,6,266,8
2007-07-12,76,222,91,3,168,1,46,167,15,41,4,302,14
2007-07-13,78,198,65,2,156,2,59,158,9,63,8,323,11
2007-07-14,76,268,67,0,175,1,66,126,4,51,3,268,8
2007-07-15,74,312,64,8,173,2,45,125,12,47,8,274,8
2007-07-16,74,201,77,6,167,0,49,150,5,42,6,261,9
2007-07-17,77,210,70,4,167,1,52,203,14,48,3,289,6
2007-07-18,93,236,89,7,158,3,63,151,8,51,8,267,8
2007-07-19,56,211,75,5,170,0,63,158,10,40,3,272,14
2007-07-20,88,217,80,3,166,1,62,197,7,35,2,310,18
2007-07-21,73,299,55,5,186,1,59,133,7,63,2,254,15
2007-07-22,99,319,84,7,171,2,54,139,11,44,7,240,14
2007-07-23,80,221,78,2,145,2,53,137,9,47,3,294,5
2007-07-24,68,270,99,3,155,0,43,170,9,44,4,250,10
2007-07-25,84,243,84,1,161,3,43,162,11,50,5,271,9
2007-07-26,85,219,80,5,145,1,58,174,7,37,7,295,9
2007-07-27,72,209,71,6,156,2,59,165,7,39,7,323,16
2007-07-28,86,292,53,6,198,2,48,165,12,51,8,247,15
2007-07-29,95,292,66,5,182,2,48,149,12,48,1,246,13
2007-07-30,89,244,89,3,146,0,41,128,10,57,4,279,7
2007-07-31,87,230,62,2,136,0,38,172,13,46,5,247,10
2007-08-01,96,189,75,13,180,3,61,186,11,48,8,384,11
2007-08-02,90,246,72,6,162,2,53,157,8,38,7,232,13
2007-08-03,72,224,59,1,197,1,50,172,10,50,4,275,13
2007-08-04,86,297,72,7,152,2,49,116,6,46,4,241,6
2007-08-05,78,266,70,4,176,4,47,137,13,45,5,234,6
2007-08-06,71,222,75,3,171,0,49,137,6,46,3,282,4
2007-08-07,77,201,58,1,163,0,55,150,10,45,2,281,11
2007-08-08,76,257,84,3,160,1,42,162,10,43,2,257,8
2007-08-09,60,198,80,2,157,4,67,160,8,46,5,267,8
2007-08-10,94,231,90,1,163,1,56,195,12,47,6,265,11
2007-08-11,73,306,61,5,191,1,57,131,11,40,3,251,10
2007-08-12,82,312,61,10,178,1,52,124,9,53,4,212,10
2007-08-13,81,229,102,6,155,1,66,157,7,58,4,283,10
2007-08-14,75,237,100,4,155,1,55,169,6,58,7,257,10
2007-08-15,77,183,82,2,183,0,55,142,5,47,5,291,13
2007-08-16,73,199,82,3,137,0,41,146,6,49,3,256,9
2007-08-17,70,197,85,3,167,1,60,177,5,47,1,289,13
2007-08-18,60,225,73,3,160,3,52,150,3,44,7,230,10
2007-08-19,66,195,49,2,154,3,64,121,5,31,5,214,9
2007-08-20,74,156,85,4,121,1,67,139,8,44,4,273,11
2007-08-21,73,198,89,6,146,4,44,172,8,42,2,270,13
2007-08-22,67,205,73,3,157,1,54,151,4,54,5,263,11
2007-08-23,72,189,76,4,137,0,51,116,1,49,3,220,6
2007-08-24,77,201,87,4,151,3,61,155,11,35,4,308,13
2007-08-25,82,299,71,3,166,2,40,159,6,40,4,249,13
2007-08-26,76,293,75,2,168,2,57,138,10,37,7,206,8
2007-08-27,71,207,78,4,159,2,44,133,10,43,2,264,13
2007-08-28,79,211,85,3,175,0,50,174,6,43,1,270,10
2007-08-29,77,205,75,4,145,0,66,191,6,40,5,247,9
2007-08-30,75,222,86,2,163,0,44,171,9,59,2,273,8
2007-08-31,85,215,68,6,158,3,47,179,14,52,6,282,10
2007-09-01,81,290,77,13,190,3,57,150,8,46,9,332,9
2007-09-02,82,282,59,6,182,7,49,132,11,24,3,197,14
2007-09-03,94,302,61,7,153,0,46,132,6,49,4,198,11
2007-09-04,75,208,74,2,146,0,44,169,11,39,4,256,10
2007-09-05,63,217,64,3,146,1,56,172,15,50,7,272,10
2007-09-06,76,242,78,8,130,0,51,167,11,44,7,246,11
2007-09-07,91,218,85,2,158,4,54,194,18,44,3,274,13
2007-09-08,101,302,75,6,183,3,44,157,8,38,6,239,11
2007-09-09,70,299,68,2,169,2,52,137,7,51,5,215,7
2007-09-10,84,190,78,5,117,1,57,125,11,48,5,242,11
2007-09-11,74,213,74,3,108,2,55,172,11,39,3,225,8
2007-09-12,62,202,77,2,134,3,41,176,7,35,6,226,10
2007-09-13,85,204,68,2,125,1,52,188,13,37,6,244,8
2007-09-14,81,226,83,4,162,3,58,194,17,48,3,265,12
2007-09-15,73,220,60,6,148,1,51,136,12,45,6,251,8
2007-09-16,77,255,51,4,151,1,51,128,17,42,1,235,7
2007-09-17,67,209,85,2,157,1,53,145,11,52,6,235,11
2007-09-18,89,239,83,1,142,1,39,158,8,53,6,255,18
2007-09-19,91,219,79,6,150,1,42,154,12,59,3,236,12
2007-09-20,97,215,80,6,144,1,40,144,12,47,4,263,13
2007-09-21,86,272,99,7,192,1,49,176,10,48,1,271,13
2007-09-22,98,293,71,5,208,4,54,144,7,54,2,255,10
2007-09-23,80,284,66,7,173,2,34,120,15,43,3,197,9
2007-09-24,88,247,89,6,145,3,55,143,7,42,4,243,8
2007-09-25,89,236,90,7,129,0,57,157,12,57,3,254,9
2007-09-26,78,200,86,4,148,1,58,124,12,53,3,230,14
2007-09-27,84,223,78,3,128,0,57,159,15,56,4,261,15
2007-09-28,86,235,81,6,189,0,54,172,10,56,7,277,11
2007-09-29,64,249,77,5,189,0,68,148,13,45,2,249,12
2007-09-30,86,274,52,6,172,3,54,133,6,40,4,229,7
2007-10-01,79,203,96,9,180,1,43,137,15,50,12,377,15
2007-10-02,94,232,71,0,156,1,36,188,9,47,7,228,12
2007-10-03,79,210,72,5,147,0,48,168,11,44,2,219,14
2007-10-04,98,225,75,3,142,0,40,179,10,45,3,250,14
2007-10-05,78,226,87,4,159,1,52,165,12,43,7,247,12
2007-10-06,80,267,84,4,150,5,48,137,10,48,6,275,16
2007-10-07,76,312,56,4,178,5,51,104,16,42,4,235,10
2007-10-08,88,231,67,6,169,2,53,175,8,38,0,225,13
2007-10-09,78,209,95,2,167,1,56,169,5,48,5,232,12
2007-10-10,65,206,84,5,160,1,54,174,6,44,4,261,14
2007-10-11,66,194,70,2,132,0,54,132,8,37,4,232,6
2007-10-12,82,212,88,3,176,0,66,176,12,38,6,295,9
2007-10-13,74,240,56,5,190,0,55,149,3,53,5,236,9
2007-10-14,68,213,55,2,174,4,61,107,9,37,3,225,13
2007-10-15,76,188,72,3,182,0,72,131,19,52,2,280,4
2007-10-16,89,248,85,6,156,1,51,166,12,53,4,256,10
2007-10-17,93,231,86,3,131,2,53,133,11,43,3,236,17
2007-10-18,74,238,97,3,170,0,50,161,11,47,2,261,8
2007-10-19,63,203,74,5,192,0,61,157,13,40,2,307,7
2007-10-20,74,269,71,3,206,2,48,139,13,62,3,219,10
2007-10-21,93,309,63,8,202,2,53,110,10,41,2,230,15
2007-10-22,67,164,73,5,179,2,61,111,5,46,3,258,5
2007-10-23,78,190,84,2,146,0,57,138,7,39,9,268,7
2007-10-24,60,180,84,2,150,1,57,138,6,59,5,279,20
2007-10-25,79,217,86,3,141,1,60,147,8,46,2,267,9
2007-10-26,93,198,80,5,155,1,49,141,11,54,4,297,7
2007-10-27,69,229,56,6,182,1,49,121,4,50,0,271,12
2007-10-28,65,230,63,2,193,0,56,128,7,43,4,247,6
2007-10-29,72,203,78,6,143,0,58,135,6,51,3,268,8
2007-10-30,82,241,83,3,178,1,77,163,5,42,5,256,13
2007-10-31,89,291,94,2,339,3,80,97,21,51,3,268,18
2007-11-01,80,236,75,7,205,1,71,147,10,57,10,346,10
2007-11-02,69,181,78,4,178,2,54,159,7,62,2,212,15
2007-11-03,71,239,59,4,211,1,51,182,6,46,3,239,11
2007-11-04,71,216,51,7,210,2,59,126,6,41,3,187,9
2007-11-05,71,182,88,4,163,0,51,112,5,47,0,257,13
2007-11-06,55,161,74,5,126,1,41,132,8,35,2,249,11
2007-11-07,65,157,91,3,124,1,70,142,4,52,3,235,6
2007-11-08,71,174,66,2,149,1,48,154,13,64,3,214,9
2007-11-09,60,203,88,5,154,1,51,176,18,45,3,264,8
2007-11-10,66,207,70,3,170,1,56,178,11,45,4,245,5
2007-11-11,58,219,66,4,197,3,57,144,5,53,3,214,13
2007-11-12,60,197,65,3,161,0,54,154,5,52,6,267,11
2007-11-13,65,216,95,3,130,0,45,141,11,39,2,233,7
2007-11-14,73,194,93,1,152,2,42,187,9,51,3,254,9
2007-11-15,54,168,78,5,152,0,50,158,10,49,6,212,7
2007-11-16,69,211,104,4,162,0,42,171,11,56,4,254,7
2007-11-17,51,172,62,2,152,2,45,142,8,62,3,256,12
2007-11-18,52,220,70,1,135,2,49,121,10,36,2,219,5
2007-11-19,68,177,96,1,149,3,39,122,11,56,3,226,10
2007-11-20,69,180,98,7,133,0,44,154,12,61,5,234,10
2007-11-21,62,153,100,2,125,2,45,102,4,45,1,240,8
2007-11-22,41,182,57,2,134,0,37,63,3,24,0,153,3
2007-11-23,48,162,56,1,118,1,48,120,6,37,2,216,3
2007-11-24,53,171,55,5,123,0,40,148,5,46,1,239,8
2007-11-25,55,203,57,3,133,0,39,103,7,45,2,182,4
2007-11-26,48,143,86,4,131,1,47,132,4,53,4,244,8
2007-11-27,62,153,89,6,140,0,33,168,13,43,2,222,8
2007-11-28,79,172,76,1,134,1,46,182,10,58,1,237,7
2007-11-29,80,172,94,4,127,1,41,125,5,54,3,218,9
2007-11-30,73,171,86,3,150,0,47,145,3,71,4,201,5
2007-12-01,37,177,62,13,105,0,56,129,3,40,8,260,5
2007-12-02,50,152,47,1,131,1,39,124,3,46,3,194,6
2007-12-03,51,174,69,2,108,0,49,116,4,53,1,222,7
2007-12-04,78,154,66,4,96,1,57,133,11,50,4,199,7
2007-12-05,59,147,61,2,84,2,45,108,7,48,1,189,5
2007-12-06,78,164,69,3,81,1,56,136,3,47,3,216,12
2007-12-07,41,145,63,5,99,0,38,133,7,45,1,230,13
2007-12-08,46,163,51,4,107,1,54,123,6,47,4,196,7
2007-12-09,37,178,46,4,107,1,41,128,4,35,4,173,5
2007-12-10,64,159,70,1,127,1,54,137,9,41,2,237,16
2007-12-11,78,184,74,3,115,2,51,139,5,34,5,223,7
2007-12-12,64,186,61,5,96,1,60,149,5,41,3,248,9
2007-12-13,75,195,93,0,116,1,41,132,5,36,6,229,7
2007-12-14,69,206,103,1,123,1,70,163,9,47,1,222,10
2007-12-15,53,177,58,3,108,2,61,108,7,59,2,221,4
2007-12-16,40,169,48,5,68,2,33,95,2,33,3,163,5
2007-12-17,55,156,65,4,90,1,42,99,6,37,1,239,7
2007-12-18,58,181,66,0,104,1,55,129,8,37,7,244,7
2007-12-19,62,180,57,0,106,1,54,119,16,40,3,213,6
2007-12-20,65,173,84,2,142,0,59,142,16,57,2,264,9
2007-12-21,68,191,110,5,155,1,60,143,15,63,5,277,10
2007-12-22,58,224,71,4,162,2,49,129,8,61,3,204,9
2007-12-23,43,178,66,2,139,2,43,101,2,61,1,224,3
2007-12-24,36,141,64,3,110,0,49,41,3,38,0,181,5
2007-12-25,49,200,54,1,125,1,41,39,3,37,1,117,2
2007-12-26,58,170,54,4,141,1,50,136,15,44,3,198,7
2007-12-27,50,155,62,7,119,1,58,148,7,41,2,192,4
2007-12-28,55,171,68,2,116,1,59,132,1,67,0,207,10
2007-12-29,57,183,64,4,97,2,42,150,18,30,6,177,12
2007-12-30,59,212,42,5,127,0,45,126,7,42,3,186,5
2007-12-31,51,162,71,4,137,3,48,57,1,43,3,219,11
2008-01-01,63,303,47,45,147,2,41,89,5,36,47,567,31
2008-01-02,44,112,49,3,95,1,44,133,5,25,3,232,4
2008-01-03,33,126,52,3,91,1,58,128,4,41,0,198,6
2008-01-04,57,154,70,4,130,1,39,153,8,55,3,233,11
2008-01-05,61,191,65,4,149,2,36,164,4,49,0,251,4
2008-01-06,54,248,56,2,173,4,46,127,7,52,4,204,16
2008-01-07,66,212,91,4,144,2,45,111,6,59,3,223,9
2008-01-08,62,173,80,4,116,1,46,153,11,42,2,240,10
2008-01-09,68,162,95,4,137,1,59,155,8,50,7,258,8
2008-01-10,60,197,70,3,135,2,53,151,2,47,3,272,16
2008-01-11,61,205,78,4,166,0,46,174,9,56,4,269,7
2008-01-12,64,225,61,4,188,1,44,149,9,44,5,223,9
2008-01-13,54,222,42,4,152,0,63,129,4,53,5,201,18
2008-01-14,59,173,72,4,125,1,38,132,4,35,4,245,13
2008-01-15,66,180,68,2,127,1,46,162,7,40,2,276,11
2008-01-16,76,183,78,2,142,0,44,138,10,46,3,205,19
2008-01-17,68,160,78,3,101,0,41,132,6,44,1,215,9
2008-01-18,56,175,70,5,123,2,59,142,6,38,2,236,7
2008-01-19,47,174,40,3,148,1,68,92,8,24,2,183,3
2008-01-20,48,188,27,2,135,1,56,104,4,35,0,158,7
2008-01-21,58,154,51,2,134,2,51,114,5,25,4,193,9
2008-01-22,52,151,71,2,102,0,34,114,7,41,3,198,8
2008-01-23,57,147,53,2,94,0,55,137,5,31,4,177,14
2008-01-24,49,142,57,5,79,0,53,159,8,39,0,198,4
2008-01-25,39,137,47,1,103,2,50,134,5,33,4,194,13
2008-01-26,56,183,43,5,117,2,47,182,4,31,4,177,7
2008-01-27,52,203,29,3,113,1,36,119,10,37,3,158,12
2008-01-28,58,167,72,3,116,0,49,133,13,46,4,229,4
2008-01-29,55,175,62,3,103,0,40,106,5,43,4,195,8
2008-01-30,50,134,57,2,89,0,48,104,4,35,2,172,5
2008-01-31,61,136,63,1,84,3,37,107,5,37,2,171,10
2008-02-01,72,158,59,6,103,0,30,151,4,39,7,303,9
2008-02-02,54,171,39,4,104,0,29,140,8,42,5,189,6
2008-02-03,54,212,37,4,102,1,30,84,8,39,1,138,5
2008-02-04,57,163,64,6,97,0,34,119,5,54,3,188,6
2008-02-05,57,179,67,3,86,0,34,150,5,32,5,184,3
2008-02-06,60,179,57,2,92,0,38,111,6,36,1,157,9
2008-02-07,68,178,58,2,98,0,30,157,7,33,2,171,10
2008-02-08,69,216,63,3,127,0,36,170,9,39,1,227,13
2008-02-09,54,178,35,4,107,4,56,176,12,26,1,168,8
2008-02-10,45,184,22,3,88,0,50,109,5,27,3,144,7
2008-02-11,48,122,47,4,97,0,41,93,1,30,2,193,2
2008-02-12,32,119,38,1,75,1,49,127,6,34,2,132,3
2008-02-13,64,138,67,2,111,0,51,141,9,31,5,208,10
2008-02-14,66,189,63,0,122,1,47,138,9,36,6,171,13
2008-02-15,65,204,53,2,132,0,50,140,10,29,11,223,9
2008-02-16,62,214,41,7,128,0,45,133,6,42,0,190,8
2008-02-17,60,212,46,4,142,0,40,155,4,29,2,168,5
2008-02-18,43,141,60,4,117,1,48,135,4,25,5,197,4
2008-02-19,68,133,53,3,89,1,59,140,4,29,6,184,3
2008-02-20,62,155,52,2,88,1,55,140,8,24,2,201,7
2008-02-21,71,183,56,0,88,0,43,136,7,31,3,220,7
2008-02-22,69,195,63,2,130,1,54,145,10,30,3,209,10
2008-02-23,69,241,49,2,122,0,57,115,6,31,2,207,8
2008-02-24,42,224,42,6,144,2,46,133,5,34,3,167,7
2008-02-25,79,202,65,2,124,1,43,113,6,29,2,193,8
2008-02-26,71,186,62,1,116,1,42,154,8,29,4,197,7
2008-02-27,66,162,66,3,106,1,39,152,10,33,1,217,9
2008-02-28,56,186,65,5,88,1,39,126,8,23,3,166,1
2008-02-29,80,219,71,4,109,3,51,123,9,43,2,219,8
2008-03-01,69,196,48,8,161,2,56,121,8,36,15,362,9
2008-03-02,51,235,32,7,132,3,46,135,15,24,2,165,11
2008-03-03,47,161,52,3,128,0,52,139,7,49,1,194,8
2008-03-04,70,191,55,1,130,0,40,161,9,31,4,175,11
2008-03-05,74,211,51,3,136,0,54,176,6,40,2,202,10
2008-03-06,75,195,51,4,113,0,61,138,11,31,3,195,9
2008-03-07,76,202,56,3,120,1,52,165,3,49,3,228,9
2008-03-08,46,191,40,5,134,0,43,111,8,54,0,196,6
2008-03-09,59,217,36,6,141,3,53,118,8,24,5,163,8
2008-03-10,68,195,69,2,130,1,50,117,5,41,2,218,13
2008-03-11,80,207,64,3,138,0,51,164,12,40,6,208,14
2008-03-12,79,214,62,5,131,1,55,136,17,40,3,240,15
2008-03-13,74,226,75,5,139,3,47,146,10,55,1,178,11
2008-03-14,82,243,71,4,150,1,69,124,12,43,2,230,13
2008-03-15,72,223,46,8,152,0,49,109,8,43,3,229,9
2008-03-16,66,206,51,0,148,5,55,124,14,34,2,185,9
2008-03-17,45,173,62,3,137,0,61,120,6,54,4,198,6
2008-03-18,40,155,61,4,146,0,69,121,10,36,3,191,15
2008-03-19,70,187,57,0,172,0,67,101,4,37,1,204,8
2008-03-20,71,166,51,3,143,4,58,137,6,40,3,216,9
2008-03-21,45,146,53,2,104,1,50,140,6,26,5,194,7
2008-03-22,45,184,41,3,122,0,56,123,9,32,1,185,8
2008-03-23,55,220,53,2,135,1,50,103,4,29,5,153,7
2008-03-24,68,179,66,4,158,2,52,105,8,33,4,234,13
2008-03-25,76,235,77,2,145,0,56,134,15,43,8,221,14
2008-03-26,110,252,71,5,130,0,50,136,5,47,2,258,15
2008-03-27,56,183,77,5,95,0,40,120,8,44,4,217,11
2008-03-28,81,223,60,2,183,0,61,154,9,47,4,236,11
2008-03-29,61,195,43,6,158,4,65,149,6,42,4,199,7
2008-03-30,61,198,49,4,133,0,47,121,5,50,2,203,6
2008-03-31,71,201,69,2,145,1,52,118,7,41,6,228,9
2008-04-01,96,191,51,9,129,2,48,142,8,27,10,322,13
2008-04-02,86,197,53,7,136,0,44,147,15,23,6,223,16
2008-04-03,93,171,51,3,137,1,54,158,6,43,3,207,14
2008-04-04,96,244,67,3,171,5,53,144,11,41,3,223,18
2008-04-05,81,249,54,2,193,2,51,119,6,38,2,225,12
2008-04-06,84,293,52,1,147,2,58,108,11,49,6,181,9
2008-04-07,90,212,76,6,151,0,48,101,8,44,2,252,7
2008-04-08,73,217,66,4,128,0,36,115,11,40,5,254,3
2008-04-09,78,201,70,3,129,0,53,134,12,41,3,236,10
2008-04-10,62,188,70,4,122,0,50,108,5,49,5,241,11
2008-04-11,61,160,69,0,142,1,50,117,5,41,2,253,4
2008-04-12,52,210,53,4,133,2,43,108,5,32,4,219,6
2008-04-13,63,198,44,8,142,0,42,111,4,29,2,189,8
2008-04-14,68,188,84,2,152,1,35,116,9,47,2,235,9
2008-04-15,74,255,70,1,175,2,50,155,18,38,3,307,12
2008-04-16,99,267,64,3,151,0,51,105,10,40,5,261,12
2008-04-17,84,226,65,3,165,2,38,125,13,41,3,248,18
2008-04-18,91,249,77,5,169,3,48,148,10,35,1,270,7
2008-04-19,80,235,56,7,182,2,63,111,7,42,1,228,9
2008-04-20,84,259,50,3,156,2,50,94,3,48,6,225,14
2008-04-21,108,260,83,2,156,3,43,122,15,47,6,259,12
2008-04-22,110,260,65,6,153,2,52,129,16,46,7,233,14
2008-04-23,97,250,75,2,143,5,44,119,15,40,4,259,8
2008-04-24,80,218,63,4,140,0,49,115,6,41,6,262,11
2008-04-25,81,272,87,4,143,0,57,149,4,48,7,224,9
2008-04-26,59,255,56,6,177,3,41,113,6,41,2,192,9
2008-04-27,67,240,40,3,125,1,42,120,4,51,2,200,10
2008-04-28,75,185,78,4,129,1,63,83,8,38,2,255,11
2008-04-29,67,184,73,3,125,1,52,127,11,36,6,233,10
2008-04-30,106,194,64,2,118,4,48,128,18,41,6,242,19
2008-05-01,99,254,82,7,168,2,47,126,14,37,13,329,12
2008-05-02,80,254,71,6,168,1,40,123,13,44,4,251,9
2008-05-03,70,208,52,4,130,1,37,116,10,53,3,207,5
2008-05-04,81,253,35,4,184,1,37,82,14,38,2,157,5
2008-05-05,91,239,83,1,179,1,46,121,12,47,5,243,7
2008-05-06,107,264,62,2,137,4,43,134,15,38,1,234,10
2008-05-07,95,250,75,2,181,1,51,146,11,54,9,258,10
2008-05-08,99,229,74,3,132,1,52,112,12,32,2,242,15
2008-05-09,85,236,85,3,167,0,56,142,7,46,3,276,14
2008-05-10,71,236,65,4,180,2,50,135,4,42,3,251,9
2008-05-11,48,223,55,2,177,1,60,76,5,36,1,188,4
2008-05-12,76,215,90,3,124,2,57,125,13,28,3,230,7
2008-05-13,95,202,79,4,150,0,49,120,16,35,8,213,17
2008-05-14,87,200,73,3,154,0,73,125,7,43,3,233,12
2008-05-15,96,228,87,2,155,4,63,137,8,55,11,244,11
2008-05-16,95,271,79,6,178,2,59,142,7,39,2,275,8
2008-05-17,78,308,49,9,155,2,42,117,2,41,7,240,15
2008-05-18,58,244,56,3,156,0,42,83,12,45,5,199,12
2008-05-19,76,223,95,5,140,1,61,119,8,51,3,268,9
2008-05-20,90,241,85,2,159,1,54,101,8,42,9,265,14
2008-05-21,88,234,88,7,143,0,46,118,7,51,4,279,14
2008-05-22,79,247,93,6,155,1,55,144,9,40,4,241,11
2008-05-23,69,205,77,3,175,1,67,144,13,58,6,294,14
2008-05-24,74,297,66,2,189,3,42,134,5,44,0,248,10
2008-05-25,56,270,51,2,182,2,42,108,12,45,2,185,13
2008-05-26,89,284,57,3,182,3,50,109,8,36,3,210,9
2008-05-27,76,191,98,1,164,0,54,127,5,42,5,247,9
2008-05-28,72,192,76,2,149,0,54,115,8,55,2,266,17
2008-05-29,89,219,77,3,152,0,49,144,13,55,4,263,17
2008-05-30,80,245,90,3,163,2,48,165,9,46,4,237,18
2008-05-31,59,284,55,3,151,2,47,135,9,49,3,222,15
2008-06-01,94,305,56,15,180,1,51,94,7,47,12,326,11
2008-06-02,106,214,82,6,155,2,61,115,10,52,1,278,10
2008-06-03,74,227,79,4,133,0,55,142,8,50,5,243,9
2008-06-04,95,236,75,4,165,0,51,148,15,49,5,249,13
2008-06-05,93,240,82,4,164,0,50,140,7,42,11,257,4
2008-06-06,94,270,67,3,188,0,71,110,6,46,3,273,10
