date,ARSON,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,ATTEMPTED ROBBERY,BATTERY - SIMPLE ASSAULT,BATTERY ON A FIREFIGHTER,BATTERY POLICE (SIMPLE),BATTERY WITH SEXUAL CONTACT,BIKE - STOLEN,BOMB SCARE,BRANDISH WEAPON,BUNCO ATTEMPT,BUNCO GRAND THEFT,BUNCO PETTY THEFT,BURGLARY,BURGLARY FROM VEHICLE,BURGLARY FROM VEHICLE ATTEMPTED,BURGLARY ATTEMPTED,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,CHILD ANNOYING (17YRS & UNDER),CHILD NEGLECT (SEE 300 W.I.C.),CHILD PORNOGRAPHY,CHILD STEALING,CONTEMPT OF COURT,COUNTERFEIT,CREDIT CARDS FRAUD USE ($950.01 & OVER),CRIMINAL HOMICIDE,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CRUELTY TO ANIMALS,DEFRAUDING INNKEEPER/THEFT OF SERVICES $950 & UNDER,DISCHARGE FIREARMS/SHOTS FIRED,DISTURBING THE PEACE,DOCUMENT FORGERY / STOLEN FELONY,DOCUMENT WORTHLESS ($200.01 & OVER),DRIVING WITHOUT OWNER CONSENT (DWOC),EMBEZZLEMENT GRAND THEFT ($950.01 & OVER),EMBEZZLEMENT PETTY THEFT ($950 & UNDER),EXTORTION,FAILURE TO YIELD,FALSE IMPRISONMENT,FALSE POLICE REPORT,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,ILLEGAL DUMPING,INDECENT EXPOSURE,INTIMATE PARTNER - AGGRAVATED ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT,KIDNAPPING,KIDNAPPING - GRAND ATTEMPT,LETTERS LEWD  -  TELEPHONE CALLS LEWD,LEWD CONDUCT,ORAL COPULATION,OTHER ASSAULT,OTHER MISCELLANEOUS CRIME,PANDERING,PEEPING TOM,PICKPOCKET,PIMPING,PROWLER,PURSE SNATCHING,RAPE ATTEMPTED,RAPE FORCIBLE,RECKLESS DRIVING,RESISTING ARREST,ROBBERY,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,SEXUNLAWFUL(INC MUTUAL CONSENT PENETRATION W/ FRGN OBJ,SEXUAL PENETRATION W/FOREIGN OBJECT,SHOPLIFTING - PETTY THEFT ($950 & UNDER),SHOPLIFTING-GRAND THEFT ($950.01 & OVER),SHOTS FIRED AT INHABITED DWELLING,SHOTS FIRED AT MOVING VEHICLE TRAIN OR AIRCRAFT,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,STALKING,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT OF IDENTITY,THEFT PLAIN - ATTEMPT,THEFT PLAIN - PETTY ($950 & UNDER),THEFT PERSON,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,THREATENING PHONE CALLS/LETTERS,THROWING OBJECT AT MOVING VEHICLE,TRESPASSING,UNAUTHORIZED COMPUTER ACCESS,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),VANDALISM - MISDEAMEANOR ($399 OR UNDER),VEHICLE - ATTEMPT STOLEN,VEHICLE - STOLEN,VEHICLE STOLEN - OTHER (MOTORIZED SCOOTERS BIKES ETC),VIOLATION OF COURT ORDER,VIOLATION OF RESTRAINING ORDER,VIOLATION OF TEMPORARY RESTRAINING ORDER
2010-01-11,0,1,29,5,47,0,0,2,0,1,0,0,1,0,49,55,2,3,2,3,3,1,0,3,0,0,1,0,17,1,0,0,0,0,11,0,0,2,0,0,0,0,1,0,0,4,0,33,1,1,4,0,0,0,6,0,1,0,0,1,2,0,0,0,0,23,0,4,0,7,1,0,0,1,1,0,12,14,56,1,23,2,27,1,0,6,0,22,33,2,34,0,5,3,0
2010-01-12,0,0,21,3,69,0,0,1,1,1,3,0,0,0,64,55,3,2,4,2,2,4,0,0,0,0,1,1,16,1,1,0,2,0,2,0,1,4,0,1,0,0,0,0,0,0,1,27,0,0,9,0,0,0,9,0,1,0,0,0,0,0,3,0,2,33,0,0,1,6,1,0,0,0,1,0,10,14,34,0,23,3,30,0,0,3,0,24,27,0,45,0,6,6,0
2010-01-13,2,0,16,5,46,0,2,2,2,0,3,0,0,0,56,58,0,7,0,6,1,1,0,0,0,1,0,1,12,4,2,0,2,0,7,0,0,0,0,0,0,0,0,0,0,2,0,17,0,1,11,0,0,0,10,0,0,0,0,1,0,0,1,0,1,25,0,0,0,10,2,0,0,1,1,0,8,15,45,0,38,2,26,2,1,2,0,21,24,2,57,0,7,3,0
2010-01-14,2,0,21,7,44,0,4,2,0,2,1,0,0,0,56,49,2,7,2,3,1,3,0,0,0,2,1,0,26,2,0,1,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,24,0,1,10,0,0,1,15,0,0,0,0,0,0,0,1,0,2,34,0,2,0,5,2,2,0,0,1,0,12,15,24,0,32,4,33,0,1,5,0,23,38,2,62,0,7,1,0
2010-01-15,1,0,11,5,46,0,2,1,2,1,6,0,2,0,62,67,1,8,0,5,4,1,0,1,0,2,1,3,11,7,0,0,1,2,8,0,0,1,1,1,0,0,0,0,0,0,1,23,0,1,18,0,1,1,12,0,0,0,0,0,0,0,1,0,0,38,0,2,1,13,4,2,0,0,2,0,7,30,61,1,40,1,48,0,0,8,0,33,28,2,40,0,6,3,0
2010-01-16,2,0,33,1,52,0,0,3,0,0,1,0,0,0,28,64,1,5,0,0,0,3,0,0,0,0,1,0,26,3,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,33,0,0,9,0,1,0,8,0,1,0,0,0,0,0,2,0,1,28,0,0,0,19,7,1,0,0,0,0,14,15,21,0,32,6,26,1,0,3,0,25,20,1,58,0,9,5,0
2010-01-17,0,0,33,1,48,0,1,2,0,0,1,0,0,0,20,88,0,3,1,2,1,5,0,1,0,0,0,0,14,1,0,1,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,47,1,0,7,0,0,0,4,0,0,0,0,1,0,1,1,1,0,24,0,1,1,13,5,0,0,0,0,0,4,20,15,0,22,4,23,0,0,4,0,21,29,1,63,0,9,3,0
2010-01-18,0,2,21,4,24,0,1,3,1,0,1,0,0,0,26,48,0,3,2,2,1,1,0,0,0,0,0,0,11,1,1,0,2,4,1,1,0,1,0,1,0,0,0,0,0,3,0,29,0,0,6,0,0,0,6,0,0,1,0,0,0,0,1,0,0,20,0,0,1,9,0,1,0,0,1,1,7,8,17,0,21,0,33,2,0,6,0,15,26,3,56,0,8,1,0
2010-01-19,3,1,10,3,57,0,0,3,0,0,0,0,1,0,49,51,1,4,1,3,1,2,0,1,0,1,0,0,16,1,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,1,0,27,1,0,8,0,0,0,8,0,2,0,0,0,0,0,1,0,0,22,0,0,0,6,2,0,0,0,2,0,8,18,42,0,22,0,23,2,0,5,0,22,25,1,47,0,2,5,0
2010-01-20,1,1,10,5,31,0,0,5,0,1,0,0,1,0,50,54,3,7,0,4,1,0,0,1,0,1,0,0,15,1,1,1,2,1,11,0,0,2,0,1,0,0,0,0,0,1,1,37,0,0,8,0,0,0,7,0,0,0,0,1,0,0,0,0,0,20,0,4,0,8,3,0,0,1,0,0,7,21,48,0,32,2,30,1,0,3,1,22,20,0,52,0,1,3,0
2010-01-21,0,0,16,5,58,0,0,6,0,0,2,0,0,0,53,62,1,5,1,4,0,2,0,0,0,0,0,0,12,1,0,0,0,0,6,0,0,3,0,1,0,1,0,0,1,1,0,20,0,0,8,0,0,0,12,0,0,0,1,1,1,0,6,0,0,29,0,0,0,5,4,0,0,4,1,0,7,11,35,1,35,1,33,0,1,5,0,19,31,0,52,0,6,2,0
2010-01-22,0,0,21,7,42,0,2,2,1,1,1,1,2,0,66,58,0,2,0,2,0,1,0,0,0,0,1,0,5,2,0,1,1,1,11,0,0,3,0,1,0,0,0,0,0,0,0,19,1,0,15,0,0,1,8,0,0,0,0,0,1,0,4,0,1,27,0,2,0,6,1,1,0,1,0,0,16,16,40,1,36,1,24,2,0,1,1,24,30,0,56,0,9,4,0
2010-01-23,2,0,39,7,57,0,4,2,0,0,2,0,1,0,36,40,0,0,2,2,0,4,0,0,0,0,0,1,14,0,0,0,4,0,5,0,1,5,0,0,0,0,0,0,0,1,2,29,0,0,1,0,0,0,19,0,0,0,0,0,0,1,1,0,0,28,0,3,1,10,3,2,0,0,0,0,9,23,22,0,34,4,31,1,0,4,0,27,24,3,51,0,5,3,1
2010-01-24,0,0,37,2,72,0,0,2,1,0,4,0,0,0,25,48,2,4,0,4,2,1,0,1,0,0,0,1,14,0,0,1,2,1,6,0,0,1,0,1,0,0,0,0,0,1,0,27,0,0,3,0,0,0,9,0,0,0,0,1,1,1,2,0,0,41,0,0,2,13,2,1,0,0,0,0,10,24,15,0,34,1,21,2,0,4,0,34,20,1,45,0,5,6,0
