date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-02-13,4,10,84,2,9,16,5,4,2,2,31,0,0,0,17,22,0,32,4,0,0,2,0,17,12,27,54,0,35,1
2006-02-14,4,15,132,2,8,13,6,9,0,3,20,0,2,1,18,42,0,51,3,5,0,0,0,6,15,32,42,0,44,10
2006-02-15,4,19,131,2,3,21,13,15,5,1,30,0,1,0,16,45,0,70,13,4,0,2,0,7,14,35,43,3,52,9
2006-02-16,7,17,107,1,6,16,8,12,0,1,32,1,1,0,22,37,1,76,6,6,0,4,0,8,19,35,53,2,54,4
2006-02-17,10,16,65,2,13,18,15,12,1,3,27,1,0,3,21,49,0,75,10,4,0,3,0,17,18,30,46,4,60,5
2006-02-18,10,24,90,1,4,16,31,11,1,2,22,0,0,0,32,42,0,65,0,0,0,2,0,11,12,39,61,2,65,5
2006-02-19,10,35,139,1,7,12,20,12,1,0,9,0,0,1,19,33,0,47,4,0,2,3,0,11,10,23,36,1,65,3
2006-02-20,7,21,256,2,12,19,24,4,5,1,32,1,1,0,21,52,0,54,6,0,0,1,0,9,9,41,48,2,72,8
2006-02-21,1,13,121,3,6,23,5,14,1,4,34,0,1,1,26,43,0,89,7,4,1,6,0,8,22,32,44,4,66,8
2006-02-22,9,14,135,1,6,22,10,10,1,5,35,0,0,0,13,59,0,62,5,5,1,3,1,10,16,45,55,2,60,10
2006-02-23,5,18,105,0,9,25,15,7,3,3,34,0,1,0,14,49,0,75,2,6,1,4,0,16,9,35,53,3,49,8
2006-02-24,3,13,60,1,4,23,14,16,4,5,29,1,1,2,19,48,1,74,5,4,0,2,0,9,16,43,56,3,52,7
2006-02-25,12,17,120,0,7,19,20,19,2,1,18,0,2,0,19,36,1,71,3,5,4,2,0,11,11,43,46,3,60,5
2006-02-26,6,13,138,3,4,12,18,7,0,1,9,0,0,0,15,30,0,62,2,0,2,2,0,9,9,30,37,3,61,0
2006-02-27,4,17,75,2,12,22,6,9,0,1,30,1,0,0,26,32,0,66,4,0,0,1,0,12,12,36,62,0,47,14
2006-02-28,7,16,97,3,6,14,16,10,2,6,31,0,0,1,19,37,1,62,6,4,0,3,0,9,14,39,59,1,52,12
2006-03-01,6,19,128,1,2,16,10,21,2,2,31,1,2,2,13,47,0,89,8,4,2,0,0,9,19,44,55,1,43,7
2006-03-02,5,20,103,0,11,20,7,10,0,3,32,0,1,1,13,45,0,75,4,5,0,1,0,9,9,33,49,3,42,8
2006-03-03,7,15,98,0,7,9,12,5,2,3,23,0,2,0,13,34,0,55,1,5,0,6,0,11,11,34,38,1,57,3
2006-03-04,15,12,104,1,4,11,25,12,0,1,13,1,0,1,20,31,0,69,3,3,1,1,0,10,18,36,60,3,58,5
2006-03-05,6,20,245,1,3,13,23,16,1,2,3,0,2,1,30,48,1,70,0,0,0,1,0,6,20,46,37,1,54,4
2006-03-06,10,16,103,2,8,27,8,11,2,4,23,1,0,0,24,40,1,82,4,0,0,4,0,8,19,41,48,0,67,10
2006-03-07,6,13,115,2,5,22,8,12,0,1,33,0,0,0,25,63,1,79,3,3,0,2,0,12,9,40,45,0,49,11
2006-03-08,6,15,106,0,7,24,11,10,3,4,34,0,1,0,27,55,1,93,3,2,0,1,0,8,17,45,47,4,50,11
2006-03-09,9,27,122,6,9,24,11,12,2,1,19,0,1,1,15,48,0,80,2,6,1,6,0,14,18,45,48,2,58,11
2006-03-10,8,24,83,2,7,16,10,17,2,1,25,1,0,2,17,34,1,84,9,2,1,3,1,5,15,39,54,2,51,6
2006-03-11,15,23,193,1,4,14,23,12,0,1,15,1,2,1,18,34,0,81,6,0,1,1,0,11,15,51,45,3,67,9
2006-03-12,5,19,210,2,9,13,23,11,1,0,8,0,2,1,20,30,0,54,2,0,1,1,0,10,18,43,49,1,67,3
2006-03-13,5,21,104,2,14,26,15,13,2,1,43,0,0,0,18,33,1,88,2,0,0,5,0,11,15,58,52,1,69,16
2006-03-14,3,23,112,4,11,26,8,4,4,4,28,0,0,0,18,58,0,99,7,6,0,4,1,9,9,32,51,2,67,8
2006-03-15,5,16,98,3,4,25,9,8,0,4,35,1,1,0,20,58,2,86,6,4,0,3,1,7,11,28,46,0,51,10
2006-03-16,10,17,117,4,10,21,12,16,3,3,36,0,0,0,21,46,0,85,8,4,1,4,0,7,13,39,46,1,55,8
2006-03-17,8,16,91,0,6,25,9,6,2,6,30,0,1,3,25,35,0,66,5,6,0,2,2,13,20,50,59,0,58,9
2006-03-18,10,19,119,0,8,22,36,10,0,0,20,0,3,3,20,45,0,68,3,5,1,4,0,10,15,38,54,4,80,13
2006-03-19,9,16,152,2,4,19,18,11,0,0,15,1,1,1,27,28,1,67,2,0,1,1,0,13,11,36,55,1,78,3
2006-03-20,9,11,92,4,7,27,12,5,0,1,22,0,0,0,23,26,0,81,7,0,0,3,0,5,14,42,56,0,62,7
2006-03-21,10,19,113,1,5,23,7,16,3,1,42,0,3,1,23,47,0,79,3,2,0,1,0,14,13,41,55,3,70,10
2006-03-22,7,14,103,1,6,23,7,12,1,2,36,1,1,0,15,42,1,71,3,6,0,4,1,9,10,47,55,2,66,7
2006-03-23,9,21,94,2,6,20,7,16,1,2,27,1,0,0,23,46,0,83,8,4,5,0,1,7,13,53,67,1,60,10
2006-03-24,7,25,100,2,8,17,10,11,0,2,24,1,1,1,22,43,0,92,3,5,0,2,0,13,17,43,56,2,56,7
2006-03-25,11,22,126,0,4,24,28,10,0,3,16,0,0,4,27,26,0,68,2,0,0,2,1,15,13,41,40,0,65,5
2006-03-26,9,26,113,2,6,17,21,8,0,0,8,0,1,0,26,36,1,67,7,0,1,3,1,20,6,47,32,1,86,5
2006-03-27,10,17,99,1,11,35,11,6,1,5,28,0,2,0,27,35,0,101,4,0,0,5,0,8,18,45,70,0,57,4
2006-03-28,10,19,125,1,12,20,8,13,2,2,33,0,3,0,21,58,0,77,1,1,3,2,1,16,17,47,61,2,59,13
2006-03-29,14,36,121,2,5,18,8,14,2,0,28,0,1,1,17,47,0,95,5,6,2,3,0,7,11,42,52,2,63,5
2006-03-30,14,23,119,0,5,16,8,15,2,1,25,0,1,3,16,54,0,94,7,5,0,1,1,16,16,50,68,3,54,8
2006-03-31,9,30,98,2,5,16,22,10,4,0,28,0,1,0,16,40,0,81,3,1,0,2,1,12,21,42,49,5,72,6
2006-04-01,8,19,139,2,8,14,19,13,0,1,11,0,2,2,19,49,0,89,2,9,0,3,1,9,14,31,41,3,64,2
2006-04-02,7,22,160,3,1,14,23,10,0,0,4,0,2,0,16,32,0,63,5,0,0,1,0,5,5,41,38,1,67,2
2006-04-03,4,13,96,0,10,24,16,3,0,1,26,0,0,5,27,44,2,80,5,0,0,4,0,10,13,26,54,0,65,2
2006-04-04,6,10,135,2,5,20,4,8,3,3,31,1,0,1,24,61,1,73,4,6,0,4,1,18,16,45,62,3,47,9
2006-04-05,8,13,92,2,4,14,8,11,1,2,32,0,1,5,17,45,1,66,9,6,0,3,1,12,4,48,57,2,58,5
2006-04-06,14,25,128,0,8,21,7,13,3,3,13,0,0,0,23,54,1,89,4,5,0,7,0,10,15,34,55,3,49,4
2006-04-07,10,18,87,0,5,25,11,14,0,2,29,0,4,24,24,42,1,88,4,4,2,2,0,13,17,36,59,1,53,8
2006-04-08,6,19,140,3,7,19,17,16,3,1,14,0,3,0,18,37,0,57,3,0,2,4,1,13,19,35,45,3,56,8
2006-04-09,4,21,198,4,3,10,23,9,0,1,8,2,0,6,23,27,0,92,6,0,0,1,1,11,12,41,42,0,60,1
2006-04-10,7,19,252,3,6,24,6,4,1,4,32,0,1,0,24,39,1,73,4,0,0,5,0,12,12,40,66,1,87,0
2006-04-11,5,22,244,2,4,15,5,10,2,3,32,1,0,0,23,50,2,60,3,8,0,3,1,12,13,25,55,2,84,4
2006-04-12,7,21,238,0,6,24,15,10,1,0,25,2,0,1,27,43,1,71,5,8,2,5,1,13,13,40,64,1,60,4
2006-04-13,9,11,259,0,5,14,15,13,1,0,35,2,2,0,22,42,0,52,5,3,0,4,2,16,18,47,34,1,60,5
2006-04-14,13,21,197,2,2,12,19,13,0,1,27,5,3,0,18,42,0,53,4,0,2,0,0,10,18,38,51,0,75,7
2006-04-15,15,30,188,3,6,19,25,10,2,4,17,1,1,2,17,28,0,68,1,4,4,2,0,14,14,42,66,0,87,2
2006-04-16,9,24,148,2,9,14,21,10,1,0,10,0,2,1,18,10,1,73,2,0,0,6,0,13,11,40,42,3,62,6
2006-04-17,11,17,161,0,9,19,10,9,3,1,30,2,1,0,23,31,0,82,5,0,1,2,0,12,8,41,56,1,81,5
2006-04-18,14,30,132,4,10,22,8,6,3,4,36,0,0,7,29,64,0,93,7,6,1,3,0,10,11,21,61,1,62,5
2006-04-19,14,20,136,4,9,29,9,17,6,4,29,1,1,11,17,57,0,85,4,5,2,3,0,15,24,46,57,1,71,9
2006-04-20,10,20,132,0,5,17,9,16,0,2,34,0,0,12,24,45,0,90,6,16,1,2,0,15,13,36,64,3,59,3
2006-04-21,7,18,89,3,2,26,11,11,1,3,26,0,3,2,29,37,0,101,6,2,2,4,0,21,15,45,51,1,68,4
2006-04-22,12,16,86,2,9,25,18,9,1,2,21,0,0,0,26,21,0,68,2,5,0,0,0,15,11,33,35,1,44,0
2006-04-23,6,15,116,0,9,17,19,13,1,0,9,0,2,0,22,45,1,80,4,0,0,3,0,14,13,38,49,0,67,3
2006-04-24,8,21,105,0,13,25,8,9,1,8,40,1,0,10,17,39,0,95,12,0,0,3,0,17,16,56,68,0,57,3
2006-04-25,3,21,121,2,5,23,9,17,3,5,30,0,0,0,28,52,0,87,8,0,0,1,0,23,13,51,60,2,63,1
2006-04-26,8,10,124,4,8,23,14,20,1,2,29,1,1,0,19,69,1,86,8,2,1,4,2,9,12,52,67,0,50,10
2006-04-27,10,14,133,1,10,18,10,14,2,4,28,0,4,2,27,46,0,80,6,4,0,2,0,10,16,31,64,2,52,10
2006-04-28,14,23,77,2,9,21,11,10,0,0,39,1,2,1,25,29,3,78,4,6,0,3,0,13,30,38,64,4,55,6
2006-04-29,17,25,152,3,6,20,14,13,1,0,21,0,1,0,22,30,0,76,3,0,0,7,0,18,7,29,48,3,65,2
2006-04-30,16,33,157,2,6,14,21,10,2,0,9,0,1,1,20,16,0,95,2,0,0,1,0,18,12,41,42,0,55,2
2006-05-01,12,17,96,4,4,23,4,5,0,5,27,0,0,1,29,35,0,97,14,0,0,3,2,17,12,54,59,1,62,10
2006-05-02,11,23,169,4,9,30,7,9,0,3,25,0,0,1,15,55,2,83,8,6,1,0,0,14,15,52,69,2,65,9
2006-05-03,15,25,108,1,14,19,14,18,3,4,35,0,3,7,23,57,0,88,8,11,1,2,1,16,21,28,60,0,61,10
2006-05-04,12,16,109,2,4,23,12,21,2,7,33,0,0,12,21,47,0,78,5,7,2,2,0,8,10,40,62,1,72,8
2006-05-05,6,18,111,0,7,24,11,19,2,1,33,3,3,2,24,41,0,88,6,6,0,1,1,11,20,55,59,2,62,5
