date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2008-07-01,9,17,156,3,11,26,8,7,2,3,30,1,0,7,8,46,1,66,5,0,2,3,0,9,16,57,84,4,58,3
2008-07-02,5,30,206,2,8,31,8,4,4,1,38,0,1,1,17,39,0,79,4,6,2,2,0,10,8,44,84,1,52,3
2008-07-03,9,18,164,2,9,27,11,12,3,6,40,0,0,1,10,44,0,89,7,6,0,3,0,17,13,33,63,1,74,2
2008-07-04,11,25,148,2,7,29,28,14,0,3,4,1,1,2,4,45,1,65,2,0,1,4,0,5,5,30,44,2,73,2
2008-07-05,10,28,100,1,4,24,31,9,0,1,14,0,0,3,5,48,0,83,2,0,4,2,0,7,16,67,58,2,81,1
2008-07-06,9,17,119,1,4,21,17,17,0,1,12,0,0,0,11,37,1,88,1,0,1,2,1,10,15,39,56,3,63,6
2008-07-07,10,15,122,6,7,34,10,4,1,0,35,0,0,0,21,32,0,62,7,0,2,1,1,15,21,57,68,1,61,4
2008-07-08,6,15,229,1,6,31,11,13,2,0,38,0,0,2,10,52,0,70,2,4,1,4,1,9,13,58,85,7,72,5
2008-07-09,16,20,227,7,7,29,11,10,1,2,37,0,1,1,12,55,1,75,3,9,6,4,0,11,20,46,73,2,54,7
2008-07-10,4,19,194,1,6,34,13,18,2,1,31,2,0,2,7,51,0,74,10,8,1,2,0,12,14,58,76,5,59,8
2008-07-11,6,21,89,2,4,29,12,13,3,2,50,1,1,4,11,43,2,81,4,0,3,3,0,10,16,40,74,5,60,6
2008-07-12,14,20,139,1,4,22,17,27,1,1,17,1,4,2,9,33,2,54,5,5,3,5,0,10,17,56,69,4,71,6
2008-07-13,7,22,129,3,5,20,20,27,0,0,8,0,0,1,9,22,0,75,5,0,1,9,0,15,17,42,37,0,67,4
2008-07-14,4,19,132,2,9,42,16,8,4,2,40,0,0,0,15,14,1,67,6,0,1,6,1,7,18,54,73,0,65,4
2008-07-15,4,20,155,3,12,41,11,6,0,2,36,1,2,1,8,60,0,68,5,7,1,3,0,7,18,51,101,1,45,7
2008-07-16,9,14,207,4,8,35,8,13,3,1,44,0,1,2,15,49,0,65,6,4,1,0,1,10,15,40,74,3,60,7
2008-07-17,11,10,144,2,6,33,7,16,0,0,38,2,1,2,7,56,0,52,5,0,3,6,0,11,16,52,91,4,71,2
2008-07-18,16,22,106,1,6,35,17,19,1,1,37,0,2,2,10,45,0,68,3,4,1,4,0,6,17,47,79,1,53,2
2008-07-19,6,32,177,2,6,31,15,21,1,7,20,1,1,0,12,40,2,55,1,10,3,1,0,13,21,40,70,1,59,2
2008-07-20,18,36,121,2,8,31,22,13,0,0,12,0,1,1,5,24,0,67,4,0,1,3,0,9,14,35,55,1,59,3
2008-07-21,8,17,188,1,11,47,5,19,0,3,31,1,2,2,9,29,0,66,8,0,0,5,0,4,15,40,77,0,67,2
2008-07-22,10,25,194,3,7,30,8,16,2,2,28,0,2,1,13,45,0,53,7,2,1,3,0,10,21,42,84,1,66,3
2008-07-23,5,16,176,1,9,32,11,10,2,0,28,0,0,3,11,34,0,48,4,14,0,5,0,12,9,39,68,2,46,2
2008-07-24,6,26,172,1,18,26,8,13,4,2,43,0,0,2,10,45,0,70,3,6,1,4,2,10,17,52,63,2,57,4
2008-07-25,1,21,135,3,8,37,16,15,3,1,35,0,0,1,17,57,0,61,1,0,3,1,1,8,19,47,62,1,46,1
2008-07-26,13,32,99,1,7,31,19,13,1,0,20,0,2,2,10,56,0,74,3,0,1,3,0,9,9,55,68,1,49,2
2008-07-27,9,22,85,1,4,32,15,15,0,1,13,0,2,1,11,25,0,72,4,0,1,2,0,9,19,73,53,0,73,4
2008-07-28,8,17,133,2,8,35,7,3,1,3,37,0,0,0,21,20,0,69,5,0,2,7,0,13,9,57,75,1,67,5
2008-07-29,9,24,189,0,7,36,8,8,3,3,45,0,0,0,15,46,1,73,5,9,1,4,0,7,23,61,83,1,71,3
2008-07-30,12,30,200,2,13,40,14,14,2,0,46,0,0,2,15,50,1,77,6,10,0,2,2,19,12,52,70,0,54,2
2008-07-31,8,30,157,4,8,25,14,7,3,1,36,0,0,3,8,45,1,65,6,4,0,9,1,8,17,54,69,3,55,2
2008-08-01,11,19,127,1,8,28,30,11,2,0,26,2,0,1,15,41,0,76,4,4,1,1,1,9,21,50,86,3,53,3
2008-08-02,10,28,153,1,11,27,32,15,1,5,17,0,0,1,16,43,0,66,3,8,3,5,0,9,18,34,55,1,55,5
2008-08-03,10,26,159,3,5,17,22,12,1,1,11,0,1,0,12,18,1,66,6,0,3,4,0,9,9,47,49,1,69,3
2008-08-04,6,19,172,2,9,53,13,8,1,0,33,0,0,0,16,20,1,58,7,0,1,2,0,9,15,44,95,2,72,4
2008-08-05,13,23,229,2,9,33,12,14,1,2,34,0,2,0,9,84,3,72,3,15,0,6,1,6,16,59,80,3,66,1
2008-08-06,12,14,209,2,8,40,13,4,2,3,47,0,0,2,9,55,1,71,4,14,0,1,0,10,12,42,87,7,59,5
2008-08-07,2,23,197,2,6,34,5,12,3,0,33,0,2,3,11,48,0,56,6,11,1,2,1,19,13,53,96,2,45,3
2008-08-08,11,26,112,2,13,23,17,15,3,4,37,0,1,2,11,62,0,66,3,7,0,6,1,9,21,39,76,2,59,3
2008-08-09,9,26,115,1,9,31,14,16,2,1,18,0,0,2,11,49,0,58,2,7,4,3,0,8,11,42,63,0,67,15
2008-08-10,9,24,115,2,5,16,21,11,0,3,14,0,4,0,3,13,0,46,4,0,0,5,0,10,15,34,43,0,57,3
2008-08-11,6,13,126,2,12,35,8,8,3,1,45,0,2,0,16,24,1,55,13,0,0,3,0,10,16,59,84,0,59,8
2008-08-12,3,19,191,3,10,30,12,11,5,3,27,0,1,1,11,54,0,67,5,5,1,5,0,14,12,58,87,1,65,1
2008-08-13,10,21,251,2,4,34,5,15,1,2,46,6,0,0,10,61,0,62,8,9,1,7,1,6,13,45,69,3,49,9
2008-08-14,7,15,156,2,4,34,17,2,2,1,40,2,1,4,13,61,1,68,4,3,2,8,0,5,11,44,71,0,58,2
2008-08-15,1,21,119,1,6,34,17,13,1,6,33,1,1,3,6,51,1,74,4,0,3,0,0,9,12,42,67,2,44,4
2008-08-16,11,31,127,2,8,43,24,11,2,0,16,0,1,2,11,56,0,59,5,0,4,5,0,19,15,35,62,2,60,3
2008-08-17,8,23,118,3,3,22,23,18,0,2,10,0,0,1,10,18,0,80,3,5,2,3,1,14,17,53,53,1,61,2
2008-08-18,9,24,180,1,16,44,13,6,0,1,32,0,0,0,14,48,0,70,9,1,0,4,0,8,13,48,86,0,80,0
2008-08-19,9,29,265,1,5,43,11,9,2,3,42,0,1,0,13,53,0,62,4,6,0,4,1,9,18,45,96,1,61,3
2008-08-20,7,13,249,1,7,27,12,13,2,2,48,3,1,0,13,41,0,54,2,8,0,1,1,8,16,58,89,2,48,9
2008-08-21,10,16,195,6,12,32,10,15,1,2,30,0,0,2,7,62,2,62,5,0,1,2,0,5,15,50,70,5,56,3
2008-08-22,8,17,95,1,9,35,12,8,4,3,37,0,0,7,12,57,2,59,3,4,2,3,0,12,17,48,80,2,65,5
2008-08-23,7,19,132,1,6,25,48,15,2,1,22,0,0,2,7,50,0,80,3,8,1,0,0,7,9,36,65,2,55,5
2008-08-24,7,25,108,5,6,24,15,15,0,2,9,0,0,1,7,22,0,81,2,0,2,7,0,14,12,39,58,0,60,1
2008-08-25,8,15,98,3,13,50,10,7,1,2,47,0,0,1,12,29,0,70,6,0,0,3,0,23,14,56,87,1,64,5
2008-08-26,16,24,158,3,35,34,4,8,1,3,44,3,0,1,12,44,0,77,5,6,1,6,1,18,10,52,83,0,57,1
2008-08-27,6,25,208,3,10,17,7,9,0,1,28,0,0,5,14,52,1,72,3,6,0,4,0,22,18,45,88,1,54,3
2008-08-28,4,11,207,4,14,28,10,15,3,5,37,0,4,1,12,66,0,72,2,3,1,3,0,11,12,45,74,2,52,4
2008-08-29,5,12,131,1,9,38,13,6,1,0,35,1,2,6,10,64,0,69,6,3,0,1,0,19,15,47,64,0,61,5
2008-08-30,16,27,82,2,5,26,31,11,0,1,14,2,3,1,15,42,2,81,5,2,2,1,1,13,15,35,43,1,59,4
2008-08-31,12,31,130,0,4,36,29,19,0,0,8,0,1,2,3,28,0,72,3,0,1,3,0,14,12,36,56,1,56,1
2008-09-01,11,14,82,2,8,34,14,15,1,0,8,0,1,2,11,21,0,78,5,0,0,2,0,15,20,46,69,0,63,3
2008-09-02,11,16,126,2,14,33,8,8,1,4,53,0,4,0,16,69,0,65,7,7,3,0,1,10,14,51,86,3,63,1
2008-09-03,7,19,147,1,6,40,16,6,1,4,56,1,0,2,6,68,0,49,6,1,0,2,1,12,17,63,88,3,55,5
2008-09-04,4,16,93,1,8,27,6,9,2,1,38,0,0,2,4,62,4,70,3,18,1,4,0,9,18,48,59,3,44,5
2008-09-05,9,17,78,5,10,19,7,18,1,2,38,0,0,2,10,55,0,83,4,0,2,4,0,9,15,30,71,1,42,6
2008-09-06,9,24,94,1,8,29,26,9,1,2,19,0,4,0,10,32,3,66,5,0,2,3,0,15,13,35,61,3,48,5
2008-09-07,9,13,85,1,10,23,26,10,0,0,7,0,0,1,7,10,1,58,1,0,4,1,0,11,11,48,64,0,57,2
2008-09-08,6,14,79,0,17,39,6,14,0,1,52,0,2,0,8,23,0,59,3,0,1,6,0,16,14,57,79,0,51,10
2008-09-09,4,15,110,4,6,36,10,16,2,0,24,0,1,1,9,54,0,72,4,7,2,3,0,9,13,53,92,3,38,3
2008-09-10,11,17,126,1,9,40,13,10,4,0,34,0,0,3,11,44,1,79,4,3,2,2,0,11,17,38,77,6,52,7
2008-09-11,5,18,96,1,0,30,6,13,2,4,47,1,3,1,9,35,0,75,3,0,2,1,0,7,16,53,64,3,55,5
2008-09-12,3,18,64,1,15,17,20,14,1,0,38,0,0,4,11,41,1,75,2,7,2,5,0,12,18,48,84,3,38,4
2008-09-13,7,17,104,1,2,26,32,16,2,4,21,0,1,4,15,56,2,65,6,5,1,2,0,10,18,36,55,1,64,1
2008-09-14,10,24,138,2,8,31,26,16,0,0,20,0,3,1,5,21,0,85,2,0,1,4,0,17,14,56,52,0,64,3
2008-09-15,12,18,97,6,14,28,9,8,2,0,40,1,0,0,8,15,0,85,7,0,1,3,0,9,16,59,69,1,58,6
2008-09-16,9,29,99,1,4,33,8,15,1,1,24,1,2,0,7,70,1,68,3,9,1,2,0,6,18,61,75,0,65,8
2008-09-17,6,29,105,4,5,35,4,16,1,5,23,0,0,0,14,46,1,96,2,0,0,2,0,8,22,33,74,0,36,6
2008-09-18,12,24,101,4,8,28,6,15,0,3,43,0,0,1,6,55,1,94,6,12,0,3,0,11,22,54,74,0,45,7
2008-09-19,5,25,73,0,12,33,26,18,5,2,33,0,1,3,11,50,5,63,3,5,4,4,0,13,20,51,68,0,59,6
2008-09-20,13,25,85,1,9,25,29,15,0,1,10,0,0,7,11,29,0,79,3,0,1,2,0,13,19,55,64,2,52,7
2008-09-21,19,35,95,1,6,21,23,17,1,0,12,0,1,2,14,26,0,80,0,0,4,1,0,10,20,51,57,0,69,4
2008-09-22,4,20,70,3,12,39,11,9,1,1,40,0,0,0,11,18,0,77,6,0,1,1,0,16,17,58,82,3,62,4
2008-09-23,11,18,112,3,9,32,11,11,0,2,29,0,1,0,11,51,0,70,4,8,1,6,0,10,20,50,61,2,49,5
2008-09-24,16,25,84,1,8,27,9,17,0,1,40,1,0,2,14,50,0,66,7,12,2,4,0,10,16,51,60,3,52,6
2008-09-25,6,11,81,3,11,37,11,16,0,2,30,0,2,0,7,29,0,77,1,4,0,2,1,13,23,42,71,5,38,9
2008-09-26,9,23,73,1,7,31,14,16,2,2,37,0,0,0,11,56,0,60,5,10,0,4,1,14,15,63,68,0,42,3
2008-09-27,8,23,76,1,1,28,27,26,0,1,32,0,0,0,5,34,0,60,3,0,2,0,0,15,10,62,77,1,55,6
2008-09-28,12,21,78,1,9,23,26,20,1,1,13,0,2,0,8,20,2,63,1,1,2,5,0,16,18,70,49,0,64,2
2008-09-29,8,16,79,1,15,33,19,2,1,3,44,0,0,0,11,17,1,76,7,0,0,4,0,7,11,43,68,0,50,8
2008-09-30,2,28,76,6,8,37,9,9,2,1,35,2,1,2,11,24,0,68,4,6,0,1,0,13,7,51,58,4,65,5
2008-10-01,8,17,129,1,4,18,16,12,3,2,28,0,1,0,12,49,0,72,2,5,0,3,0,18,18,51,64,6,47,6
2008-10-02,7,23,90,3,8,34,17,18,0,4,29,0,0,0,11,47,1,67,2,6,1,4,0,11,11,55,68,3,56,7
2008-10-03,6,19,71,1,5,27,17,13,2,1,54,2,2,3,14,62,0,70,4,4,1,1,2,10,17,49,70,1,60,4
2008-10-04,11,23,64,2,7,30,25,14,0,1,23,0,3,1,12,38,1,63,1,2,1,3,0,8,21,36,53,1,82,1
2008-10-05,9,20,108,2,4,19,25,8,0,1,9,0,1,1,8,20,0,47,5,0,2,5,0,19,16,58,47,1,68,2
2008-10-06,7,12,54,1,9,30,15,7,0,2,35,0,0,0,12,17,0,53,7,0,1,1,0,20,22,48,79,1,63,5
2008-10-07,4,17,123,2,4,25,4,14,2,1,39,1,0,0,8,54,1,76,4,5,0,3,0,8,17,48,74,3,44,8
2008-10-08,18,21,153,1,9,35,15,9,1,1,26,0,0,1,8,48,1,76,4,4,2,4,1,12,14,67,59,5,51,2
2008-10-09,6,25,150,0,8,35,18,10,3,0,26,3,0,2,7,55,0,71,2,3,0,1,0,11,14,43,75,0,61,8
2008-10-10,4,14,70,3,6,28,11,14,2,3,30,0,0,5,4,39,0,69,1,5,2,3,1,12,10,60,51,2,45,10
2008-10-11,10,19,136,3,10,31,19,10,0,2,17,1,2,0,8,36,0,63,0,2,2,2,0,13,12,49,57,2,58,6
2008-10-12,1,27,91,0,7,26,24,11,0,3,9,0,2,1,7,21,0,69,2,0,0,2,0,11,17,50,45,0,63,7
2008-10-13,14,20,117,4,9,28,11,6,0,2,19,0,0,1,8,23,0,67,11,0,0,4,0,13,10,63,78,2,60,4
2008-10-14,12,31,109,1,12,29,11,12,0,1,35,0,2,0,13,55,1,92,3,11,1,1,1,17,13,58,80,2,62,14
2008-10-15,6,18,107,4,6,19,15,14,3,0,38,0,0,0,9,42,0,84,1,9,1,3,1,16,16,51,79,0,50,3
2008-10-16,6,30,81,2,4,35,21,32,2,3,35,1,1,0,7,43,3,86,12,4,0,3,0,12,19,60,83,1,54,11
2008-10-17,8,26,72,2,6,27,13,9,2,6,36,0,3,3,10,46,0,85,5,11,2,0,0,10,23,57,74,0,51,9
2008-10-18,11,25,85,2,5,32,19,20,0,1,22,0,1,3,11,24,0,59,2,0,0,3,0,19,24,51,55,2,53,1
2008-10-19,8,13,98,2,11,24,25,10,1,1,9,0,0,1,9,11,2,66,6,0,0,1,0,21,8,42,60,1,73,2
2008-10-20,9,23,54,3,11,46,6,6,2,3,29,0,0,0,10,16,0,84,2,0,0,5,0,15,14,45,69,1,43,4
2008-10-21,7,21,71,2,12,44,7,14,1,1,44,0,2,0,8,51,0,73,1,4,1,3,0,14,11,48,66,1,40,3
2008-10-22,8,15,85,2,9,23,11,9,2,1,27,0,1,1,7,44,0,69,1,5,0,4,0,15,14,47,71,5,61,8
2008-10-23,5,17,100,1,7,27,11,11,4,6,31,1,6,6,7,41,0,61,4,1,0,5,0,17,15,55,73,2,57,5
2008-10-24,8,16,68,2,8,27,12,13,3,1,37,0,1,6,6,56,0,63,0,3,0,2,0,10,12,49,65,8,65,7
2008-10-25,6,27,98,2,5,27,20,8,1,2,12,1,1,2,8,37,0,56,4,0,2,5,0,19,14,48,64,3,44,4
2008-10-26,14,22,87,2,11,19,30,11,1,2,10,0,2,0,7,20,0,54,1,0,1,5,0,17,20,48,44,1,56,1
2008-10-27,11,14,56,7,6,28,15,10,1,4,28,0,3,0,8,19,0,44,6,0,0,3,1,16,23,55,67,0,67,4
2008-10-28,4,17,47,2,9,28,11,8,0,1,24,0,2,0,5,47,1,57,10,7,0,0,1,17,15,54,52,2,44,6
2008-10-29,7,13,54,2,5,29,8,23,2,1,28,0,1,0,9,32,1,54,4,4,0,1,0,11,9,30,69,0,62,5
2008-10-30,7,40,66,1,6,34,12,44,1,1,30,0,1,2,10,31,0,103,2,4,0,4,0,13,23,68,74,4,182,4
2008-10-31,7,18,54,0,6,19,23,20,3,1,30,0,0,5,3,37,0,88,1,1,5,0,0,18,17,36,57,2,106,3
2008-11-01,9,19,45,3,8,20,19,17,0,1,17,0,0,2,8,25,1,68,2,2,0,3,0,14,23,42,64,2,88,6
2008-11-02,14,22,75,4,9,21,20,8,1,1,8,0,4,1,6,24,1,68,5,0,0,2,0,20,12,45,45,6,72,3
2008-11-03,3,24,81,1,12,32,15,8,0,2,30,1,0,0,12,30,0,73,4,0,0,0,2,14,21,53,77,2,79,2
2008-11-04,6,17,105,0,6,26,13,11,3,1,26,1,1,0,8,48,0,69,3,6,1,2,0,13,15,50,66,4,70,4
2008-11-05,6,12,98,1,17,34,11,13,0,0,40,1,1,2,8,51,0,52,6,6,1,5,0,17,22,52,67,1,53,4
2008-11-06,6,14,87,1,6,31,12,19,1,0,31,0,1,0,2,47,0,60,5,0,0,2,0,14,25,56,70,6,42,3
2008-11-07,9,18,73,0,5,36,17,9,1,4,34,0,0,2,10,56,0,82,6,4,3,2,0,11,20,52,62,1,54,6
2008-11-08,4,12,109,1,6,18,32,14,1,2,22,0,2,0,6,36,1,48,1,3,3,2,0,17,6,46,64,1,56,3
2008-11-09,7,15,75,3,10,27,26,7,0,2,13,0,3,5,5,24,0,71,1,0,2,1,0,11,9,63,37,3,71,3
2008-11-10,3,10,70,0,42,29,18,5,1,1,45,0,1,0,6,41,0,60,7,0,1,2,0,15,19,57,82,1,68,7
2008-11-11,5,19,103,1,6,27,25,9,2,2,28,0,0,0,9,74,0,57,0,7,0,3,0,20,18,59,67,2,46,3
2008-11-12,12,13,86,3,7,37,11,10,1,4,39,1,1,0,8,47,0,58,6,4,1,1,0,15,12,48,74,12,40,6
2008-11-13,10,10,102,1,13,34,15,14,4,0,35,0,0,1,7,39,0,68,6,1,0,1,1,19,17,38,57,4,30,6
2008-11-14,6,18,67,3,6,28,14,15,1,4,26,0,1,1,9,52,0,63,5,3,0,4,1,11,23,50,59,1,34,11
2008-11-15,5,30,103,1,10,19,30,12,1,1,22,0,0,0,6,52,0,57,1,0,3,0,1,15,8,60,56,1,52,2
2008-11-16,5,23,94,0,8,33,26,10,0,2,10,0,1,0,5,18,0,75,0,0,0,2,0,7,18,52,48,1,74,3
2008-11-17,4,12,43,0,11,35,16,10,2,3,40,0,0,0,9,23,0,77,0,0,1,3,0,22,22,42,71,0,50,6
2008-11-18,4,10,57,1,2,32,14,10,0,2,31,0,0,0,3,54,1,47,8,5,2,3,0,17,11,36,62,3,36,6
2008-11-19,3,15,82,2,11,34,16,7,3,3,34,0,0,0,6,37,1,70,6,6,0,3,0,14,15,39,69,2,38,8
2008-11-20,4,14,62,0,6,26,7,3,2,1,14,0,1,0,6,32,4,45,1,1,0,2,0,21,12,40,55,1,33,5
2008-11-21,8,15,82,1,11,35,19,6,2,2,40,0,1,3,6,44,0,102,8,6,2,4,0,11,18,44,74,2,43,8
2008-11-22,3,13,96,4,2,31,37,15,2,1,17,0,0,3,2,31,0,49,3,2,2,1,0,9,10,45,51,1,53,4
2008-11-23,5,20,72,1,5,19,27,8,3,1,11,1,1,2,6,13,1,56,1,0,0,1,0,13,14,50,40,2,53,5
2008-11-24,7,19,47,0,7,25,11,8,1,1,30,1,0,0,8,15,0,61,9,0,0,7,0,11,23,43,97,1,52,5
2008-11-25,10,12,60,1,8,32,11,16,7,1,36,0,1,2,7,51,1,59,3,4,1,2,0,8,15,51,52,1,52,4
2008-11-26,2,15,109,1,4,31,21,7,1,2,32,0,2,0,5,48,0,61,2,5,0,3,0,16,13,50,63,3,45,8
2008-11-27,11,19,33,2,7,29,15,5,0,0,5,0,0,0,2,9,0,46,2,0,2,2,0,13,10,34,33,0,38,2
2008-11-28,9,12,70,3,10,28,19,9,4,1,28,0,1,2,11,50,1,56,2,1,0,3,0,12,14,46,59,3,50,1
2008-11-29,6,19,115,1,1,30,26,11,1,0,17,1,1,1,6,50,0,49,2,0,1,1,0,11,14,53,53,1,45,7
2008-11-30,6,17,154,2,3,27,31,10,0,0,17,0,0,3,6,30,1,61,0,0,0,2,0,17,9,44,38,0,50,9
2008-12-01,16,20,65,3,9,39,10,5,2,3,38,0,2,0,5,18,0,59,5,0,0,0,0,19,9,62,70,1,58,3
2008-12-02,9,10,83,0,6,27,15,12,1,4,42,1,1,1,7,64,0,50,7,10,1,6,0,7,15,45,61,9,31,9
2008-12-03,7,18,109,3,4,29,15,10,2,4,40,0,1,1,9,58,4,63,11,3,0,8,0,14,26,35,58,2,45,10
2008-12-04,4,15,105,1,7,26,17,10,0,1,26,0,0,2,8,44,0,70,6,0,0,4,1,4,11,46,79,2,28,9
2008-12-05,8,24,78,0,7,32,17,7,3,2,45,0,1,1,4,38,0,86,5,0,0,0,0,9,23,34,68,2,45,6
2008-12-06,13,13,85,1,7,18,31,8,0,1,18,0,1,2,4,43,0,54,1,5,2,2,0,18,14,46,70,0,47,10
2008-12-07,10,12,102,1,10,19,35,5,0,1,14,0,0,0,6,18,0,56,3,0,2,2,0,10,9,55,51,0,54,4
2008-12-08,7,17,48,3,15,23,11,11,1,0,34,0,0,0,7,27,0,68,5,0,0,2,1,16,18,64,61,3,46,6
2008-12-09,6,18,96,2,12,39,15,11,3,4,37,0,0,0,10,57,1,66,7,6,0,0,0,11,17,49,70,2,54,3
2008-12-10,14,25,109,0,7,28,16,11,2,2,23,0,1,0,10,60,1,62,2,6,0,4,2,19,18,48,67,3,43,7
2008-12-11,5,14,62,2,9,21,14,7,1,2,45,0,1,0,4,30,0,63,1,1,0,2,0,13,14,49,64,0,37,7
2008-12-12,4,17,54,3,8,34,21,11,2,2,40,0,0,0,2,42,0,72,2,3,2,2,0,15,23,55,53,4,54,7
2008-12-13,5,23,125,0,8,36,43,21,1,2,20,0,0,0,9,61,0,53,2,6,4,2,0,12,16,48,56,2,53,5
2008-12-14,4,22,102,2,7,25,28,7,0,1,12,0,4,0,3,17,0,55,3,0,2,3,0,12,16,41,48,0,52,4
2008-12-15,0,20,53,1,12,37,16,4,1,2,39,0,0,0,6,31,0,66,5,0,1,1,0,13,10,52,78,1,67,5
2008-12-16,7,28,88,1,8,32,18,11,2,3,39,0,1,1,7,52,1,70,10,1,0,2,0,15,16,55,85,2,47,11
2008-12-17,5,22,95,1,6,47,10,18,1,4,25,0,0,3,6,53,1,77,7,8,0,7,0,15,12,53,78,1,43,6
2008-12-18,4,19,84,2,8,30,15,9,0,1,29,0,1,0,6,45,0,66,9,5,0,3,2,16,12,47,63,3,42,9
2008-12-19,6,25,61,2,6,36,27,8,3,2,38,0,0,0,1,42,0,59,10,3,1,4,0,12,17,44,65,1,35,7
2008-12-20,3,14,71,0,0,29,42,13,5,1,21,0,0,2,8,44,1,56,1,0,1,2,0,15,11,45,62,1,58,2
2008-12-21,4,12,72,2,6,25,29,9,0,2,8,0,1,1,8,20,0,38,2,0,0,0,0,16,17,35,35,0,51,2
2008-12-22,2,15,63,0,10,37,9,2,1,1,36,0,0,0,4,15,2,39,5,0,1,3,0,8,10,34,63,0,48,5
2008-12-23,3,15,55,2,6,29,11,7,4,2,33,0,0,0,6,41,0,49,9,7,0,5,0,20,13,41,73,8,48,3
2008-12-24,13,13,41,1,4,22,13,6,0,1,22,0,0,0,4,8,0,35,2,0,1,1,0,17,9,34,53,0,36,3
2008-12-25,7,20,23,2,7,21,7,4,0,0,3,0,3,0,3,5,0,38,1,0,0,2,0,14,6,27,18,5,36,2
2008-12-26,13,16,84,1,4,26,33,12,1,1,35,0,2,2,7,58,0,40,4,5,0,1,0,16,15,37,63,2,46,5
2008-12-27,13,25,114,2,4,24,36,18,0,2,15,0,3,2,8,39,1,42,3,5,0,3,0,21,13,45,30,2,57,3
2008-12-28,5,14,119,0,7,26,15,7,1,2,8,0,1,0,2,22,0,66,5,0,1,2,0,11,23,49,41,0,66,1
2008-12-29,9,9,151,2,13,37,16,6,1,1,38,0,1,0,8,19,0,53,6,0,3,0,0,18,16,40,61,1,48,3
2008-12-30,8,18,148,0,14,27,16,8,0,1,28,1,0,1,6,57,3,38,4,11,0,7,0,16,18,41,60,0,64,8
2008-12-31,7,13,83,0,3,20,22,8,0,0,32,0,1,0,9,45,1,47,5,0,0,3,0,11,10,26,39,2,49,7
2009-01-01,15,29,39,1,4,19,33,10,0,0,8,0,1,1,4,27,1,96,4,0,1,8,0,11,15,31,45,0,72,10
2009-01-02,8,20,66,0,3,34,12,10,4,0,36,0,0,0,12,49,2,33,6,2,2,1,1,17,18,38,60,2,51,4
2009-01-03,8,13,101,3,9,22,23,9,0,2,16,0,0,0,3,37,0,40,2,2,0,3,0,16,16,27,42,1,57,8
2009-01-04,16,10,112,1,5,23,20,6,0,1,12,0,0,1,4,21,0,41,2,0,1,0,0,16,18,37,49,0,64,3
2009-01-05,2,11,47,3,15,42,5,3,1,0,49,0,0,0,5,22,0,45,0,0,0,4,0,20,16,40,74,0,60,3
2009-01-06,6,11,89,1,6,27,8,7,7,2,33,0,2,0,10,54,0,38,5,2,1,3,0,13,9,41,66,0,40,5
2009-01-07,8,18,80,1,11,35,15,12,1,1,35,0,0,0,4,38,2,53,3,5,1,1,0,18,17,43,55,3,34,11
2009-01-08,1,11,115,3,7,30,26,18,2,2,30,0,1,0,6,57,0,54,4,6,0,3,0,13,12,38,53,1,42,3
2009-01-09,9,15,58,4,7,45,28,8,2,0,35,0,0,0,6,56,2,67,5,4,1,5,0,17,12,51,58,0,38,5
2009-01-10,6,19,104,2,7,18,31,9,0,2,19,0,2,3,2,45,1,41,0,5,0,1,0,11,9,46,41,0,55,4
2009-01-11,7,13,64,0,4,14,26,7,2,0,6,0,0,0,5,22,0,49,1,0,0,3,1,12,14,39,38,0,58,1
2009-01-12,5,10,41,1,4,22,17,9,2,3,29,0,0,0,4,14,0,86,5,0,0,3,1,13,8,36,53,0,56,3
2009-01-13,8,15,121,1,8,21,17,9,1,2,35,0,0,0,4,64,1,82,2,0,2,3,0,21,17,43,39,3,43,4
2009-01-14,4,14,111,0,10,34,17,15,1,0,40,0,1,0,3,57,1,69,5,6,0,4,0,14,16,49,48,3,34,8
2009-01-15,6,10,104,0,3,21,18,10,1,3,31,0,0,0,6,43,0,84,4,2,0,0,0,12,13,35,60,4,37,1
2009-01-16,7,17,45,1,2,24,13,6,0,0,34,0,2,0,5,35,0,50,5,3,2,0,0,18,12,23,53,3,35,3
2009-01-17,4,19,113,2,1,32,23,15,2,1,22,0,1,3,4,38,1,56,0,5,4,2,0,16,13,26,48,2,31,6
2009-01-18,3,16,78,2,5,11,24,12,1,2,9,0,1,1,4,17,0,45,3,0,5,1,0,20,10,33,41,0,50,5
2009-01-19,5,15,96,0,5,29,16,10,2,1,20,0,1,0,9,14,0,27,1,0,0,2,0,11,17,37,47,0,42,1
2009-01-20,7,10,120,0,3,33,8,8,2,1,38,0,2,0,2,51,0,48,3,7,0,1,0,11,12,47,53,3,31,6
