date,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FORGERY/COUNTERFEITING,FRAUD,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSES FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
2003-02-09,0,33,0,0,10,0,0,31,2,0,0,2,4,0,71,1,0,2,24,51,0,0,10,3,0,1,0,11,3,10,50,18,4
2003-02-10,0,30,0,0,19,10,2,41,1,1,0,6,17,0,69,0,1,3,36,89,14,0,7,3,1,4,0,15,3,18,51,41,2
2003-02-11,1,27,0,0,13,2,2,49,3,0,0,5,6,0,73,0,0,9,22,71,4,0,9,1,2,0,0,10,2,17,40,30,5
2003-02-12,1,25,0,0,12,2,0,39,2,1,1,5,6,0,73,1,0,4,25,74,14,0,6,3,3,2,0,19,3,13,35,18,2
2003-02-13,0,40,1,0,18,1,1,29,0,0,0,12,9,0,75,1,0,8,15,61,11,0,7,3,2,1,0,17,2,9,49,33,3
2003-02-14,0,36,1,0,23,2,4,19,5,0,0,5,13,1,75,1,0,9,38,50,14,0,11,4,2,3,0,19,1,22,28,15,7
2003-02-15,0,35,0,0,12,2,0,18,2,1,0,6,6,2,67,0,0,2,34,41,2,0,8,2,1,1,0,12,2,16,37,27,4
2003-02-16,0,35,0,0,13,4,0,5,4,0,0,2,4,0,85,0,1,5,18,35,2,0,5,2,0,1,1,9,1,24,31,16,2
2003-02-17,0,21,0,0,16,3,0,31,1,3,0,5,12,0,70,1,2,10,25,42,0,0,9,4,0,2,1,12,4,11,47,20,5
2003-02-18,1,28,0,0,14,6,0,37,2,0,0,14,7,0,77,4,3,5,24,102,6,0,13,2,1,2,0,14,2,24,40,30,2
2003-02-19,2,36,0,0,17,5,0,30,0,0,0,5,3,1,80,0,0,7,23,66,6,0,11,3,1,1,1,16,4,19,49,38,5
2003-02-20,0,37,0,0,22,2,0,29,3,0,0,5,10,0,73,0,2,7,29,54,9,0,14,4,1,2,0,6,2,16,32,42,5
2003-02-21,1,24,0,0,26,1,2,27,1,0,0,5,7,0,79,0,2,9,31,57,3,0,7,2,5,2,0,10,5,24,41,12,5
2003-02-22,0,29,0,0,24,1,1,18,0,1,0,1,10,0,83,0,1,8,28,107,0,0,9,3,1,1,0,6,4,24,31,18,3
2003-02-23,0,32,0,0,16,1,0,21,2,1,0,3,7,1,75,2,0,2,29,51,0,0,3,3,1,2,0,6,6,14,43,25,2
2003-02-24,0,41,1,0,21,2,1,26,0,1,0,8,13,1,71,0,1,9,29,50,0,0,10,2,2,1,0,16,4,13,31,23,3
