date,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FORGERY/COUNTERFEITING,FRAUD,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSES FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
2004-07-22,0,23,0,0,7,11,2,23,0,1,0,3,9,0,80,0,1,7,33,72,2,0,12,1,0,1,0,17,2,11,51,23,0
2004-07-23,3,40,0,0,15,2,0,30,0,0,0,6,12,0,66,0,0,5,22,73,3,0,17,3,0,1,0,11,3,13,57,27,3
2004-07-24,4,28,0,0,18,2,2,24,2,1,0,4,6,0,77,0,2,11,25,53,2,0,15,3,0,0,0,8,3,22,56,19,3
2004-07-25,0,29,0,2,13,2,0,21,1,0,0,3,5,1,87,0,2,9,21,28,1,0,10,6,0,1,0,10,1,12,48,23,2
2004-07-26,0,30,0,0,24,0,0,30,1,1,0,3,8,1,69,1,1,8,30,43,0,0,9,1,0,3,0,8,2,19,43,23,2
2004-07-27,2,21,0,0,10,2,0,29,0,0,0,4,10,0,89,0,1,6,25,52,0,0,7,4,1,4,2,16,3,18,55,21,2
2004-07-28,1,16,0,0,27,0,0,29,0,1,1,10,9,0,67,0,0,7,38,58,10,0,8,2,1,1,0,13,4,8,42,23,4
2004-07-29,1,23,0,0,21,1,0,15,1,0,0,7,8,0,88,0,0,3,18,40,3,0,9,2,0,2,0,12,6,18,49,20,3
2004-07-30,0,22,0,0,25,1,1,29,1,1,0,5,5,0,71,0,0,4,28,61,10,0,9,6,3,2,0,13,1,16,59,17,0
2004-07-31,0,19,0,0,9,0,0,20,1,1,1,3,3,0,71,0,1,4,25,31,3,0,8,4,1,1,0,16,0,23,36,21,2
2004-08-01,1,28,1,0,6,4,0,27,0,1,2,12,17,2,69,1,0,7,30,61,2,0,4,3,2,2,0,15,4,14,49,20,2
2004-08-02,1,33,0,0,17,2,0,29,1,1,0,7,9,0,65,0,0,8,34,53,1,0,15,2,0,1,0,16,3,20,54,13,1
2004-08-03,2,29,0,0,8,3,0,48,2,0,0,6,8,0,67,0,0,10,26,69,5,0,14,4,0,2,0,11,6,21,44,34,4
2004-08-04,0,33,0,0,15,4,1,29,6,1,0,7,9,0,71,0,0,11,26,70,3,0,2,2,1,1,0,13,2,17,32,35,3
2004-08-05,0,27,0,0,12,4,1,29,3,0,0,7,3,1,71,1,0,7,25,61,7,0,7,5,1,0,1,5,5,14,46,28,3
2004-08-06,2,28,0,0,29,0,2,29,2,0,0,3,9,0,77,1,1,10,35,50,8,0,11,1,1,0,0,19,1,21,48,19,1
2004-08-07,3,45,1,0,12,2,0,20,2,0,2,5,5,1,76,0,0,5,22,48,4,0,8,4,0,3,0,13,0,17,49,25,2
2004-08-08,1,24,0,0,16,0,0,24,1,0,0,7,3,1,52,0,0,5,32,25,3,0,5,4,1,2,0,6,2,12,49,9,2
2004-08-09,1,30,0,0,17,1,0,31,0,0,0,5,8,0,58,0,1,5,21,63,3,0,9,3,2,1,0,9,3,14,39,21,3
2004-08-10,0,16,1,0,25,5,0,34,3,1,0,6,14,0,69,3,0,5,25,56,2,0,12,2,2,2,1,8,9,20,68,31,2
2004-08-11,1,31,0,0,17,2,1,29,1,1,0,3,10,1,72,1,0,3,26,60,9,0,7,2,1,2,0,15,6,20,49,22,2
2004-08-12,0,29,0,1,19,2,0,25,0,0,0,3,8,0,65,0,0,4,38,47,3,0,6,5,0,4,0,17,7,18,71,24,5
2004-08-13,0,18,0,0,33,1,1,22,0,0,0,10,9,1,70,1,0,6,44,52,10,0,9,3,1,1,0,7,3,22,61,17,3
2004-08-14,0,35,0,0,15,0,2,15,2,1,0,3,5,0,68,1,0,3,27,46,1,0,4,3,1,1,0,11,4,15,56,20,1
2004-08-15,0,38,0,0,18,0,1,16,2,1,0,10,3,2,57,0,0,5,27,33,0,0,15,1,0,3,0,11,4,20,46,23,2
2004-08-16,0,36,0,1,17,3,0,26,0,0,0,7,8,0,65,1,1,1,42,72,0,0,12,3,0,4,0,18,3,13,57,23,3
2004-08-17,2,28,0,0,18,1,0,27,3,0,2,4,6,0,65,1,1,10,20,53,0,0,11,0,1,1,1,17,2,13,50,15,5
2004-08-18,0,27,0,0,29,1,0,44,1,0,1,4,9,2,75,0,0,9,27,66,9,0,10,5,1,0,0,15,2,17,60,29,1
2004-08-19,1,27,0,0,29,3,0,41,0,0,0,8,5,2,88,0,1,3,24,64,4,0,6,4,0,4,0,6,3,15,54,29,4
2004-08-20,2,37,0,0,27,0,1,33,0,0,0,6,9,0,69,1,1,6,36,39,5,0,10,5,1,0,1,13,1,27,62,27,1
2004-08-21,1,29,0,0,11,2,0,19,3,2,0,1,9,0,78,3,2,1,37,50,0,0,10,4,1,2,0,5,2,26,52,27,1
2004-08-22,1,26,0,0,7,4,2,24,3,0,1,3,4,0,67,2,0,3,27,54,0,0,4,3,0,3,0,18,4,12,54,13,4
2004-08-23,1,28,0,0,17,0,0,34,3,0,0,9,10,1,56,0,0,7,34,68,1,0,8,3,1,5,0,11,4,18,41,26,2
2004-08-24,0,17,1,0,19,2,2,35,1,0,0,4,1,1,80,1,1,4,24,67,0,0,13,4,1,3,0,14,4,18,38,20,7
2004-08-25,0,24,0,0,22,1,0,23,2,0,0,3,6,1,63,0,1,5,30,58,14,0,10,3,0,2,1,15,6,16,46,27,1
2004-08-26,2,29,0,0,29,9,0,31,1,1,0,2,14,0,71,0,0,0,28,66,2,0,9,2,0,6,0,8,4,27,38,30,2
2004-08-27,0,31,0,0,23,2,0,28,1,2,0,5,6,0,81,0,0,1,46,53,12,0,8,2,1,3,0,11,2,31,38,22,2
2004-08-28,1,30,0,0,19,1,1,28,2,1,0,6,8,2,76,1,0,3,39,79,0,0,11,6,1,0,1,16,2,24,41,22,1
2004-08-29,2,35,0,0,18,1,0,25,2,0,0,3,2,0,78,0,0,8,31,35,0,0,11,1,0,2,0,19,7,15,41,18,2
2004-08-30,0,22,1,1,13,2,0,18,1,2,0,5,5,1,68,0,0,3,27,42,0,0,9,5,2,0,0,15,1,15,54,14,5
2004-08-31,1,21,2,0,14,0,0,31,2,0,0,11,11,1,68,1,0,4,29,48,1,0,8,1,0,2,0,11,2,15,45,25,2
2004-09-01,0,42,0,0,19,0,0,45,1,3,0,14,17,2,71,0,0,6,53,79,7,0,14,3,2,4,1,14,3,19,54,28,2
2004-09-02,0,31,1,0,14,1,1,24,1,0,0,6,6,0,65,1,0,8,33,38,2,0,5,3,1,2,1,14,1,16,55,13,4
2004-09-03,0,33,0,0,19,1,1,36,2,0,0,10,5,0,51,0,0,2,33,50,5,0,8,3,1,0,0,11,4,21,64,19,2
2004-09-04,2,30,0,0,11,1,1,18,2,0,0,5,4,0,74,1,0,3,35,52,1,0,9,3,0,1,1,16,2,18,37,28,6
2004-09-05,0,37,0,0,9,1,1,20,1,0,0,3,5,1,58,0,0,7,38,31,0,0,5,4,0,0,0,11,5,23,45,11,5
2004-09-06,0,31,0,0,11,0,0,12,1,0,0,6,5,1,58,1,0,8,28,35,0,0,12,2,0,0,0,9,2,15,37,13,0
2004-09-07,1,39,0,1,13,1,0,28,0,3,0,3,13,0,61,1,1,8,32,52,3,0,5,3,0,0,0,17,6,11,43,19,3
2004-09-08,0,36,0,0,23,4,0,30,0,1,3,6,6,2,64,2,0,2,29,47,12,0,9,3,2,4,0,10,6,18,25,21,5
2004-09-09,1,40,0,0,19,0,0,25,2,0,0,13,8,0,59,0,0,3,22,63,4,0,5,0,0,1,0,18,2,18,60,19,3
2004-09-10,1,27,0,0,17,2,0,18,1,0,0,5,9,1,74,0,1,1,25,53,11,0,12,3,0,4,0,7,7,14,56,22,3
2004-09-11,2,23,0,0,9,2,2,23,2,0,1,8,3,0,72,0,3,7,25,45,5,0,9,2,0,1,1,8,1,18,55,13,2
2004-09-12,0,32,0,0,14,1,0,19,3,1,0,6,4,0,74,0,0,7,25,39,3,0,7,4,3,1,0,15,2,23,50,14,3
2004-09-13,0,31,0,0,12,3,0,20,1,1,1,6,6,0,67,1,2,7,33,49,3,0,5,1,2,0,1,16,5,11,46,17,7
2004-09-14,1,25,0,0,18,2,1,41,2,0,0,8,12,0,71,0,0,5,23,56,4,0,4,2,1,1,0,8,2,14,43,18,3
2004-09-15,1,35,0,0,16,1,1,38,1,2,0,6,11,0,68,0,0,2,31,57,6,0,5,5,0,4,0,23,2,21,47,32,3
2004-09-16,0,25,0,0,16,1,3,43,1,0,0,5,0,0,66,0,0,9,42,63,13,0,11,7,1,0,1,11,3,14,52,29,2
2004-09-17,1,35,0,0,22,0,1,30,0,1,0,6,4,0,77,2,0,3,41,51,6,0,10,1,0,2,0,13,2,17,67,16,7
2004-09-18,0,15,0,0,18,0,0,14,1,0,0,4,7,0,74,0,1,8,30,41,4,0,5,2,1,1,0,13,5,25,61,11,5
2004-09-19,0,26,0,0,14,1,0,12,2,0,0,2,3,0,66,1,0,6,27,27,4,0,7,0,1,0,0,8,2,13,36,16,1
2004-09-20,1,19,1,0,16,3,0,21,2,1,0,7,6,0,68,0,0,5,25,41,4,0,7,3,1,3,0,8,5,10,48,13,2
2004-09-21,0,29,0,0,16,1,1,21,1,1,0,6,5,0,79,0,0,5,24,43,6,0,8,5,2,1,0,16,3,10,39,23,3
2004-09-22,0,26,0,0,15,3,1,23,1,1,1,5,5,1,80,0,2,3,43,43,1,0,12,1,0,1,0,12,3,20,31,21,2
2004-09-23,2,38,0,0,22,2,0,26,1,0,0,12,5,0,93,0,3,12,25,54,11,0,13,2,1,2,1,20,4,16,51,18,4
2004-09-24,0,44,0,0,19,3,2,29,3,0,0,9,13,1,57,0,2,8,27,47,3,0,5,6,5,4,0,14,2,23,62,12,0
2004-09-25,0,34,0,0,14,2,2,13,2,0,0,4,8,0,77,2,2,3,28,81,7,0,4,2,0,4,0,11,3,28,69,15,3
2004-09-26,2,35,0,0,15,1,2,19,4,1,0,4,4,0,58,0,5,8,28,30,1,0,15,3,2,1,0,10,2,26,37,11,3
2004-09-27,0,24,0,0,21,0,1,63,0,0,0,10,9,0,71,1,0,4,23,40,4,0,13,4,1,4,0,14,2,14,38,14,3
2004-09-28,0,27,0,0,16,2,0,34,2,0,0,6,13,0,60,0,4,7,29,69,16,0,7,3,2,1,0,13,0,11,34,22,2
2004-09-29,0,24,0,0,28,2,1,35,1,0,0,8,1,2,63,0,2,5,27,72,13,0,7,7,1,4,0,15,3,16,36,25,1
2004-09-30,2,29,0,0,19,3,1,36,2,0,1,4,6,0,62,0,0,8,21,47,9,0,7,5,2,1,0,13,1,16,26,23,1
2004-10-01,1,31,1,0,24,4,1,26,1,3,0,24,11,0,68,0,1,11,49,59,5,0,4,9,1,2,0,20,2,23,44,11,3
2004-10-02,0,27,0,0,13,1,2,13,0,0,0,3,4,0,61,0,1,9,38,39,2,0,9,1,2,1,0,8,0,17,38,16,1
2004-10-03,2,31,0,0,12,2,0,12,1,0,0,3,5,0,59,0,0,9,32,39,0,0,9,6,0,1,0,15,1,14,45,10,8
2004-10-04,2,28,0,0,11,2,2,24,5,3,0,5,8,0,64,0,1,9,22,49,0,0,3,2,3,1,0,18,8,16,54,29,4
2004-10-05,2,19,0,0,9,4,0,28,1,0,1,8,2,0,50,0,0,7,32,37,5,0,7,0,1,3,0,9,1,19,37,20,1
2004-10-06,1,28,0,0,16,8,0,56,0,1,0,9,4,1,62,2,0,5,21,68,10,0,12,3,0,3,0,19,4,13,57,31,3
2004-10-07,1,15,0,0,26,3,0,37,0,0,0,9,3,0,62,2,0,5,22,56,5,0,5,2,1,2,1,12,1,11,42,29,3
2004-10-08,1,29,0,0,25,3,1,31,2,1,0,7,8,0,69,2,0,5,34,66,2,0,12,3,1,1,0,9,3,19,56,17,3
2004-10-09,0,45,0,0,16,1,2,12,3,0,0,3,2,0,70,0,0,7,30,37,1,0,14,3,1,0,2,10,1,18,57,9,3
2004-10-10,0,33,0,0,14,3,1,14,1,0,0,3,5,0,65,1,0,8,24,42,0,0,9,2,0,0,0,14,4,21,45,22,3
2004-10-11,1,21,0,0,22,4,1,35,2,1,0,3,2,2,48,0,1,7,21,50,0,0,14,1,0,2,0,8,4,19,39,22,2
2004-10-12,2,32,0,1,21,1,0,24,1,0,0,9,9,2,73,0,0,5,22,45,6,0,11,2,2,3,0,14,2,17,33,30,5
2004-10-13,0,30,0,0,20,4,0,45,1,1,0,9,4,1,57,2,1,4,30,60,4,0,8,2,0,2,0,9,5,23,46,35,3
2004-10-14,1,43,0,0,25,2,0,22,1,1,1,9,8,0,48,0,0,9,25,42,11,0,19,7,1,0,0,18,3,10,49,15,7
2004-10-15,1,42,0,0,20,2,2,26,0,0,0,5,4,0,83,0,0,8,41,56,11,0,14,3,1,0,1,17,4,13,52,12,3
2004-10-16,1,29,0,0,9,4,0,28,3,0,0,7,3,0,66,0,0,7,31,48,1,0,9,3,1,0,1,11,1,19,59,17,2
2004-10-17,0,29,0,0,12,2,0,12,2,0,0,1,4,1,47,1,0,7,28,34,2,0,10,5,1,2,0,10,3,19,46,11,3
2004-10-18,0,32,1,0,19,1,0,29,0,0,0,6,8,1,55,1,0,16,29,54,0,0,9,6,0,0,0,13,4,14,28,18,3
2004-10-19,0,30,0,0,21,3,1,32,3,0,0,9,5,0,59,0,0,6,21,53,9,0,8,2,2,1,0,13,3,15,56,13,4
2004-10-20,0,26,1,0,16,2,0,42,2,0,0,11,7,0,60,0,0,10,34,55,2,0,11,6,0,3,1,17,1,12,59,18,5
2004-10-21,1,23,0,0,12,13,1,19,3,0,0,5,6,0,73,0,1,8,27,75,6,0,12,4,0,0,0,12,4,12,44,16,4
2004-10-22,4,27,0,0,25,4,0,34,1,1,0,5,5,0,79,0,0,7,22,55,4,0,10,5,1,1,0,9,1,14,57,15,0
2004-10-23,0,25,0,0,20,0,2,14,3,0,0,5,5,0,71,0,1,5,39,57,0,0,10,6,0,0,0,8,1,11,65,13,1
2004-10-24,0,32,0,0,15,1,2,34,2,0,0,3,4,0,60,0,1,4,28,51,0,0,10,4,1,2,2,7,2,14,43,20,5
2004-10-25,0,11,0,0,21,2,1,48,2,1,0,6,7,0,56,0,0,2,32,46,0,0,5,0,1,2,1,10,2,9,51,13,1
2004-10-26,1,22,0,0,16,3,0,26,3,0,0,6,6,1,57,0,0,4,28,46,8,0,10,1,1,0,0,9,6,18,43,26,3
2004-10-27,0,30,0,0,18,4,1,39,2,0,0,5,4,0,52,0,1,5,27,62,5,0,13,3,1,0,0,17,4,16,47,20,3
2004-10-28,0,37,0,0,16,3,0,27,5,0,0,3,6,0,59,1,3,10,30,57,3,0,8,2,1,1,0,11,0,21,59,28,0
2004-10-29,1,38,0,2,34,3,3,31,2,2,0,6,7,1,61,1,0,3,30,73,2,0,15,5,3,1,0,12,11,24,50,11,5
2004-10-30,1,41,0,0,23,1,1,17,1,0,0,6,10,0,54,0,0,7,41,31,0,0,6,2,2,0,0,9,3,21,63,12,1
2004-10-31,3,49,1,0,20,1,0,8,3,2,0,1,7,0,71,0,0,2,52,44,0,0,12,2,2,1,0,19,1,24,68,17,7
2004-11-01,0,47,0,0,18,3,1,18,3,2,1,17,17,2,38,2,0,12,50,66,0,0,13,5,2,5,0,24,2,21,42,17,1
2004-11-02,0,31,1,0,19,5,0,30,4,1,0,9,6,2,52,2,2,13,24,60,2,0,7,2,0,2,0,15,7,10,49,27,3
2004-11-03,1,27,0,0,13,2,0,24,0,0,0,6,4,0,55,0,1,5,29,41,5,0,10,2,1,1,0,9,0,17,58,25,5
2004-11-04,0,22,0,0,18,1,0,25,0,1,0,4,8,0,59,0,0,6,35,51,3,0,5,0,1,1,0,8,0,9,38,12,2
2004-11-05,0,37,0,0,25,2,1,25,1,0,0,4,3,0,53,0,0,10,37,48,4,0,10,5,2,1,0,20,4,18,66,22,2
2004-11-06,0,28,0,0,23,4,2,25,1,2,1,6,8,0,60,0,1,10,28,43,2,0,7,3,1,1,0,8,1,24,52,9,1
2004-11-07,1,21,0,0,23,1,4,19,0,0,0,2,3,1,55,0,0,7,29,44,1,0,16,6,0,0,0,10,1,13,61,15,5
2004-11-08,0,27,0,0,23,1,0,32,1,3,0,12,15,0,50,1,0,4,31,49,1,0,10,0,0,1,0,17,6,11,56,12,2
2004-11-09,0,15,0,0,18,0,0,24,1,0,0,5,8,0,43,0,0,6,19,38,3,0,12,3,0,1,1,11,1,8,40,13,3
2004-11-10,0,29,0,0,20,4,0,26,1,0,0,7,4,0,58,0,0,2,27,41,6,0,7,1,1,0,1,7,4,13,45,22,5
2004-11-11,0,23,1,0,13,2,1,38,0,2,1,2,3,1,55,0,0,5,28,46,2,0,15,2,0,2,1,17,3,12,55,22,6
2004-11-12,0,39,0,0,22,2,2,20,1,0,0,10,6,0,71,1,0,5,32,61,9,0,5,2,3,0,0,19,1,23,57,18,4
2004-11-13,0,27,0,0,19,2,1,10,1,0,0,4,7,0,72,1,0,12,28,46,1,0,11,3,1,2,1,10,2,22,50,13,1
2004-11-14,1,25,0,0,24,3,1,10,2,0,0,6,3,0,65,0,0,4,43,25,0,0,7,2,0,1,1,8,2,14,71,15,3
2004-11-15,1,28,1,0,22,2,1,22,2,2,0,7,15,0,50,0,1,4,33,29,3,0,11,3,2,3,0,7,5,14,59,17,6
2004-11-16,1,25,0,1,15,4,0,21,1,0,1,4,4,0,61,0,0,6,33,50,3,0,10,5,2,3,1,9,3,16,58,32,4
2004-11-17,0,30,0,0,21,1,0,25,1,0,0,6,3,1,46,0,0,3,22,37,5,0,4,5,1,4,1,8,1,18,55,15,2
2004-11-18,1,36,0,0,18,1,0,20,0,1,0,4,4,0,63,0,0,12,35,31,2,0,5,3,1,0,0,10,2,12,51,21,4
2004-11-19,0,29,1,0,23,4,1,17,0,0,0,7,7,0,75,1,2,5,30,48,5,0,11,3,0,0,0,10,7,23,62,16,4
2004-11-20,1,24,0,0,21,0,2,14,3,0,0,4,7,1,57,0,0,3,35,34,1,0,11,5,0,1,1,13,4,17,55,19,3
2004-11-21,3,27,0,0,17,3,0,23,0,0,0,9,6,0,54,2,0,6,31,37,0,0,8,5,1,0,0,9,2,15,50,13,0
2004-11-22,1,40,0,0,17,1,0,26,0,0,0,3,2,0,61,0,0,7,26,48,0,0,10,1,1,0,1,15,6,14,63,10,2
2004-11-23,0,22,1,0,19,2,2,30,0,0,0,5,5,0,63,0,1,6,23,37,9,0,10,1,0,1,0,12,4,17,57,18,3
2004-11-24,2,21,1,0,47,1,1,23,0,0,0,7,2,0,56,0,1,8,37,38,1,0,5,1,2,1,0,14,4,17,51,15,3
2004-11-25,1,26,0,0,21,0,2,15,0,1,0,3,1,0,33,0,1,10,23,29,1,0,4,4,0,1,1,6,3,15,38,12,2
2004-11-26,1,31,0,0,25,0,0,21,0,1,0,5,8,0,48,0,0,8,21,51,0,0,13,3,2,0,0,22,4,20,43,26,5
2004-11-27,1,29,0,0,20,2,0,16,2,0,0,3,3,0,77,0,0,5,31,38,0,0,9,3,0,0,0,6,0,17,52,13,0
2004-11-28,2,31,0,0,13,2,1,10,2,0,0,3,6,0,61,0,2,2,36,33,3,0,9,2,0,4,0,6,2,11,35,14,1
2004-11-29,2,38,0,0,14,1,0,55,2,1,0,14,10,0,43,0,0,6,33,55,2,0,8,3,3,1,1,7,2,16,50,25,0
2004-11-30,0,28,0,0,16,2,0,30,0,1,1,10,11,0,55,0,9,3,24,45,16,0,7,2,0,2,1,7,2,15,31,21,3
2004-12-01,1,31,0,0,24,2,1,34,0,3,1,20,15,0,69,1,3,7,28,68,5,0,10,3,1,1,0,18,2,21,51,18,5
2004-12-02,2,26,1,0,22,2,0,30,0,0,0,7,3,0,53,1,5,3,20,45,12,0,5,0,0,2,0,17,0,21,59,27,3
2004-12-03,2,24,0,0,22,1,0,29,0,2,0,9,4,1,66,0,0,8,35,44,3,0,11,2,0,3,1,11,4,18,55,13,9
2004-12-04,1,38,0,0,16,1,1,18,1,0,0,6,3,1,70,0,0,10,25,35,2,0,10,3,3,1,0,14,2,20,65,10,3
2004-12-05,1,29,0,0,15,0,0,15,3,2,0,5,4,0,58,0,0,1,37,32,0,0,9,8,2,1,0,10,3,16,55,8,3
2004-12-06,0,20,0,0,26,0,0,11,1,1,0,8,6,0,48,0,0,4,23,39,1,0,6,2,0,2,0,17,4,17,60,13,0
2004-12-07,1,25,2,0,19,1,1,16,1,0,0,9,8,0,63,0,0,9,28,30,0,0,12,6,4,1,1,12,2,17,65,8,3
2004-12-08,0,23,2,0,19,3,0,25,1,2,1,9,5,1,53,0,0,5,27,44,9,0,11,3,0,0,0,7,3,16,38,11,2
2004-12-09,1,27,0,0,20,1,0,33,1,1,0,5,6,1,69,1,2,4,21,47,5,0,5,2,2,3,1,17,3,12,33,21,4
2004-12-10,0,24,0,0,33,4,0,29,1,2,0,7,10,1,68,2,0,3,33,55,12,0,12,1,1,0,2,14,4,19,48,24,6
2004-12-11,0,23,0,0,23,0,0,8,2,0,0,6,4,0,73,0,1,8,25,31,1,0,12,3,3,3,0,18,3,13,55,11,4
2004-12-12,0,35,0,0,13,2,0,14,2,1,0,2,2,0,60,0,0,1,31,26,0,0,13,2,3,1,0,15,2,15,60,11,3
2004-12-13,0,24,0,0,17,2,0,40,0,1,1,9,10,0,80,0,0,4,36,53,0,0,8,5,0,3,0,17,2,10,39,15,3
2004-12-14,0,31,0,0,14,0,0,35,1,0,0,3,11,0,74,1,1,1,23,63,7,0,11,5,2,0,2,15,2,18,52,29,0
2004-12-15,2,36,0,0,22,2,0,50,3,0,0,11,10,0,85,1,1,4,41,56,18,0,7,4,2,1,2,9,3,12,65,25,4
2004-12-16,1,30,0,0,19,0,0,22,0,1,0,6,1,0,81,0,0,6,32,56,8,0,11,0,0,2,1,15,5,18,50,18,2
2004-12-17,1,22,0,0,28,2,2,26,3,1,0,11,11,0,56,1,1,4,25,48,5,0,10,4,0,3,1,11,2,26,62,22,4
2004-12-18,0,33,0,0,14,1,0,23,0,0,0,2,4,1,60,2,0,6,27,44,1,0,9,2,0,1,0,12,3,19,46,13,6
2004-12-19,0,27,0,0,17,1,2,19,1,1,0,3,7,0,60,0,0,1,30,40,1,0,10,5,1,0,0,10,3,19,57,24,0
2004-12-20,0,18,0,0,21,2,0,39,0,0,0,12,10,0,58,1,0,4,19,54,2,0,7,4,0,1,1,14,3,19,54,22,2
2004-12-21,1,30,0,0,18,0,1,30,0,0,0,11,8,0,58,1,4,4,29,53,7,0,10,4,0,1,0,8,1,15,45,18,2
2004-12-22,1,23,0,0,32,2,0,31,1,1,0,5,3,0,59,1,1,8,35,42,10,0,13,8,0,2,0,12,3,15,57,23,3
2004-12-23,0,26,0,0,25,4,0,31,3,0,1,9,8,1,60,0,0,5,22,45,3,0,9,4,2,2,0,16,2,23,56,28,3
2004-12-24,1,29,1,0,21,3,0,10,1,1,0,7,8,2,67,0,0,0,24,28,0,0,11,7,1,2,0,17,3,18,37,12,7
2004-12-25,0,9,0,0,11,1,1,9,0,0,0,0,1,2,37,1,0,1,29,23,0,0,2,1,0,0,1,11,3,17,45,11,2
2004-12-26,0,27,0,0,18,1,2,14,1,1,0,1,3,0,46,0,0,3,18,37,0,0,6,4,0,2,0,4,2,13,48,9,1
2004-12-27,0,20,1,0,17,2,0,12,0,0,0,6,3,2,41,0,0,4,30,26,2,0,10,4,1,2,0,8,2,9,35,12,4
2004-12-28,0,25,0,0,19,0,0,17,1,1,0,8,7,0,64,2,3,2,29,43,4,0,3,6,2,2,0,21,5,24,45,19,2
2004-12-29,0,28,0,1,26,1,0,31,1,0,0,5,3,1,52,0,4,8,31,39,5,0,8,3,0,3,1,15,3,13,58,16,10
2004-12-30,1,23,0,0,16,3,1,19,1,1,0,4,5,1,54,0,0,8,24,41,1,0,9,4,0,0,1,8,4,13,56,13,1
2004-12-31,1,23,1,0,16,0,2,8,2,1,0,10,7,1,73,0,0,6,52,49,0,0,5,5,1,0,0,15,1,23,70,8,2
2005-01-01,0,50,0,0,21,7,1,17,3,7,0,25,17,2,75,2,0,7,63,61,0,0,14,8,9,3,0,35,2,21,43,10,6
2005-01-02,2,21,0,0,15,3,1,11,2,1,0,0,3,0,57,0,0,6,22,43,4,0,3,3,0,0,0,11,2,15,50,8,2
2005-01-03,0,17,0,0,20,1,0,20,0,0,0,6,5,0,46,0,0,8,28,44,0,0,6,2,1,1,0,7,1,14,50,14,3
2005-01-04,0,30,0,0,19,2,1,35,2,0,0,11,7,1,62,0,1,4,21,41,7,0,6,3,3,1,0,9,3,12,60,13,4
2005-01-05,1,24,0,0,15,2,0,35,2,1,0,8,6,1,66,0,0,4,31,54,3,0,10,5,3,1,0,10,3,12,52,27,0
2005-01-06,2,35,0,0,31,1,0,24,1,1,0,5,11,0,76,1,3,4,32,54,12,0,8,1,1,2,1,5,4,18,38,19,1
2005-01-07,2,24,0,0,29,0,0,21,1,0,0,5,7,0,68,0,0,2,36,41,4,0,16,2,0,1,0,15,3,11,50,18,2
2005-01-08,0,34,0,1,15,2,1,13,1,0,0,3,9,0,79,0,3,3,29,36,1,0,6,0,1,4,0,13,6,17,36,13,2
2005-01-09,1,35,0,0,16,3,0,18,5,1,0,5,4,3,61,1,0,4,15,49,0,0,9,4,4,0,1,12,4,15,60,9,3
2005-01-10,0,26,0,0,25,0,0,19,1,0,0,8,9,1,59,0,1,6,37,44,0,0,3,2,5,2,0,10,2,11,64,18,0
2005-01-11,0,24,0,1,28,2,0,42,0,1,0,10,12,0,69,0,4,3,21,80,8,0,10,2,0,1,0,11,2,12,66,27,3
2005-01-12,1,30,1,0,17,4,3,40,4,1,0,10,9,0,71,2,0,7,41,55,5,0,8,2,2,4,0,11,4,11,47,31,4
2005-01-13,0,27,0,0,28,1,0,56,2,1,0,7,6,0,62,0,5,7,29,46,9,0,10,1,1,0,0,14,6,18,38,14,2
2005-01-14,3,25,0,0,36,4,0,30,5,2,0,9,3,0,58,0,0,6,34,57,0,0,9,4,0,2,0,22,3,22,51,24,3
2005-01-15,0,31,0,0,18,2,1,18,3,1,0,7,7,1,69,4,1,2,35,59,1,0,9,4,1,3,0,15,4,14,74,22,1
2005-01-16,1,31,0,0,15,3,0,28,2,0,0,3,5,0,57,2,1,6,26,30,3,0,16,0,3,2,0,12,5,18,50,22,2
2005-01-17,2,21,0,0,16,3,1,22,1,0,0,4,7,1,58,0,1,0,23,42,1,0,13,3,2,1,0,16,4,11,54,14,5
2005-01-18,0,28,1,0,23,1,1,38,1,0,0,9,3,2,68,1,6,8,27,59,8,0,11,2,0,2,0,8,6,17,43,23,3
2005-01-19,0,25,0,0,27,2,0,42,4,1,0,3,12,1,64,0,0,1,31,60,8,0,10,1,3,3,0,13,2,25,62,23,6
2005-01-20,0,33,0,0,27,3,0,18,2,1,0,7,8,0,67,0,2,5,38,53,1,0,12,0,0,3,0,13,2,9,55,16,7
2005-01-21,0,23,0,0,35,2,1,27,0,0,0,12,15,0,68,0,1,7,24,45,1,0,13,2,0,4,0,20,2,23,81,16,3
2005-01-22,0,29,0,0,21,6,0,19,5,1,0,2,2,1,80,1,2,4,28,46,0,0,8,4,0,0,0,8,3,18,44,27,5
2005-01-23,0,29,0,0,27,6,1,15,3,0,0,4,5,0,62,1,5,8,21,35,2,0,15,2,0,0,1,7,1,18,56,16,1
2005-01-24,1,13,0,0,21,3,1,31,0,0,0,11,10,0,61,0,0,4,23,46,0,0,6,0,0,2,0,13,4,12,59,12,3
