family,trigger,lag,trigger_family_class,epoch,is_primary,k_meta,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,TIER,tier_notes,city_details
AGGRESSION_TOTAL,PHASE_Full,0,PHASE,POST,True,4,4,0.008219199117775015,-0.17565036207302046,0.1920887603085705,0.05777617076696345,0.8958918979554771,0.0,3.0886263541589636,0.3781615589097115,2.869442399195504,N/A,Secondary trigger or non-PRE epoch,"LA[0.337, 0.022] CHICAGO[0.144, 0.010] PHILLY[0.075, -0.134] NYC[-0.138, -0.159]"
AGGRESSION_TOTAL,PHASE_Full,1,PHASE,POST,True,4,4,0.17075551702479982,-0.01051526153797952,0.35202629558757914,0.05695957171745207,0.05776836583637551,0.0,0.5660778708654016,0.9041522201358425,0.0,N/A,Secondary trigger or non-PRE epoch,"CHICAGO[0.357, 0.064] PHILLY[0.249, 0.117] NYC[0.231, -0.042] LA[0.162, 0.114]"
AGGRESSION_TOTAL,PHASE_Full,WIN3,PHASE,POST,True,4,4,0.08294221995169256,-0.02714696117321448,0.1930314010765996,0.034592627986247716,0.09607433704880641,0.0,1.6063982504501015,0.6579399310600986,0.0,N/A,Secondary trigger or non-PRE epoch,"LA[0.218, 0.024] PHILLY[0.143, 0.095] CHICAGO[0.094, 0.065] NYC[0.078, -0.078]"
AGGRESSION_TOTAL,PHASE_Full,-1,PHASE,PRE,True,5,5,-0.018514061388093542,-0.09524437702598737,0.05821625424980029,0.027636172418552978,0.5395962854360987,0.0,3.453488754308509,0.48498563092853797,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.099] LA[0.059, -0.132] PHILLY[0.021] NYC[0.016, -0.116] CHICAGO[-0.035, -0.064]"
AGGRESSION_TOTAL,PHASE_Full,0,PHASE,PRE,True,5,5,0.001501217927037236,-0.09506799337224513,0.0980704292263196,0.034781602963622295,0.9676416095720239,0.00120609293737315,5.830850469181298,0.2121416017929269,31.399372679134498,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.158] LA[0.024, -0.068] PHILLY[0.011] CHICAGO[-0.009, -0.025] NYC[-0.021, -0.110]"
AGGRESSION_TOTAL,PHASE_Full,1,PHASE,PRE,True,5,5,-0.036953846108945275,-0.1136845791061985,0.03977688688830796,0.027636322740040922,0.2521498394219739,0.0,3.325781721815382,0.5048577672295647,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.076] LA[0.021, -0.179] CHICAGO[-0.004, -0.041] NYC[-0.044, -0.111] PHILLY[-0.065]"
AGGRESSION_TOTAL,PHASE_Full,WIN3,PHASE,PRE,True,5,5,-0.012336544774201826,-0.09462393148209827,0.06995084193369464,0.029637678250452628,0.6985947930044754,0.0025231130852554147,10.147359712686137,0.038017252910648044,60.58087903398914,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.111] LA[0.035, -0.126] PHILLY[-0.011] CHICAGO[-0.028, -0.031] NYC[-0.046, -0.082]"
AGGRESSION_TOTAL,PHASE_Full,-1,PHASE,PRE2014,True,5,5,-0.002017587396517982,-0.09721486522775105,0.09317969043471508,0.03428746984876946,0.9558993419818658,0.0,2.882121221265459,0.5777419349808155,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.127] LA[-0.000, -0.036] NYC[-0.007, -0.024] PHILLY[-0.016] CHICAGO[-0.022, -0.058]"
AGGRESSION_TOTAL,PHASE_Full,0,PHASE,PRE2014,True,5,5,0.033068030981053265,-0.08047087984473197,0.1466069418068385,0.040893627110879446,0.4640749350414819,0.0017314642368303668,5.323357145468291,0.255698336077876,24.859446948714478,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.190] NYC[0.119, -0.042] PHILLY[0.040] CHICAGO[0.003, -0.018] LA[-0.032, -0.118]"
AGGRESSION_TOTAL,PHASE_Full,1,PHASE,PRE2014,True,5,5,-0.0009668542779773919,-0.09616229244719715,0.09422858389124236,0.0342868072525561,0.978854239798511,0.0,0.8216101370951459,0.935527669477444,0.0,NULL,p_meta ≥ 0.05 or k_cities < 2,"LA[0.064, -0.071] SF[0.064] NYC[0.040, -0.055] PHILLY[0.008] CHICAGO[-0.016, -0.038]"
AGGRESSION_TOTAL,PHASE_Full,WIN3,PHASE,PRE2014,True,5,5,0.013811429576956786,-0.0648242880306704,0.09244714718458398,0.02832244637591171,0.6513188641176304,0.0016553883129793074,6.831353923814813,0.1450733492815049,41.44645344672331,NULL,p_meta ≥ 0.05 or k_cities < 2,"SF[0.127] NYC[0.045, -0.035] PHILLY[0.011] LA[0.010, -0.075] CHICAGO[-0.019, -0.031]"
