family,trigger,epoch,lag,city,crime_type,g,var_g,n_target,n_ctrl,p_mw,p_mw_fdr
AGGRESSION_TOTAL,PHASE_FirstQ,POST,WIN3,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.0311524317737011,0.0206220596655266,57,325,0.8852191056315061,0.9492096304172866
AGGRESSION_TOTAL,PHASE_FirstQ,POST,WIN3,la,BATTERY - SIMPLE ASSAULT,-0.1435004087082577,0.0206478779461767,57,325,0.2294921086864652,0.7507298275823181
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,chicago,ASSAULT,0.0508705445292902,0.0044603779090256,237,4155,0.5434811521286906,0.9830108660848784
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,chicago,BATTERY,0.0792652493282905,0.004460798770922,237,4155,0.3031284064478355,0.9830108660848784
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,philly,Aggravated Assault No Firearm,-0.0773530059268745,0.0060406222891949,175,3073,0.4106867802581803,0.991139629721948
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,nyc,ASSAULT 3 & RELATED OFFENSES,0.1045674672372002,0.0070474155130306,150,2640,0.233185675716423,0.9849486623307108
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,nyc,FELONY ASSAULT,0.0262901410586006,0.0070455785001742,150,2640,0.8744838784695234,0.9849486623307108
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.0168123550491345,0.0084533698385285,125,2206,0.5422604714567585,0.969858957584693
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,la,BATTERY - SIMPLE ASSAULT,0.0474527365773447,0.008453792575095,125,2206,0.7734259241148973,0.9706733365914162
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,-1,sf,ASSAULT,0.030459527915504,0.0056838876018424,186,3253,0.539686971894642,0.9533058945482475
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,chicago,ASSAULT,-0.0087987181496481,0.0044600919870599,237,4155,0.7347877570153747,0.9558627820816846
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,chicago,BATTERY,-0.0579344099836481,0.0044604654470165,237,4155,0.5871758973111225,0.9558627820816846
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,philly,Aggravated Assault No Firearm,-0.0327834533447005,0.0060398661689373,175,3073,0.669405149552594,0.973471999570873
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,nyc,ASSAULT 3 & RELATED OFFENSES,0.0955985704332309,0.0070470935495199,150,2640,0.1011486228295412,0.9612763501947104
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,nyc,FELONY ASSAULT,0.0943988139144237,0.0070470526688527,150,2640,0.2441680017289791,0.9612763501947104
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,0.0121912999935896,0.0084533410649161,125,2206,0.8538464977762904,0.978584926851867
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,la,BATTERY - SIMPLE ASSAULT,0.1150160096306981,0.0084561491487881,125,2206,0.1878104728541394,0.978584926851867
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,0,sf,ASSAULT,0.0144001658221491,0.0056837827985161,186,3253,0.7776494180093344,0.9761745694984336
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,chicago,ASSAULT,0.0377278902575603,0.0044602452873175,237,4155,0.6749822142495325,0.9932270697862532
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,chicago,BATTERY,0.0029739303099025,0.0044600841769027,237,4155,0.8030017036415009,0.9932270697862532
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,philly,Aggravated Assault No Firearm,0.2070319538871359,0.0060463029334347,175,3073,0.001118047990274,0.0939160311830166
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,nyc,ASSAULT 3 & RELATED OFFENSES,0.0791095449430264,0.007046576912761,150,2640,0.2103031922385001,0.8739979556700558
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,nyc,FELONY ASSAULT,0.1179937287227951,0.007047951410594,150,2640,0.1397121030696055,0.8739979556700558
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.1941220518026544,0.0084613991892614,125,2206,0.0669790318720922,0.8991100259158633
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,la,BATTERY - SIMPLE ASSAULT,-0.0554412270949583,0.0084539690386959,125,2206,0.4381185927341486,0.9727215375241708
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,1,sf,ASSAULT,-0.0103120009336462,0.005683768101482,186,3253,0.9742565437527614,0.9742565437527614
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,chicago,ASSAULT,0.026592769426516,0.0016472163426215,711,4155,0.7058456307433065,0.9352724929701548
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,chicago,BATTERY,0.0080540379678891,0.0016471503159091,711,4155,0.89643853554047,0.9720796237738734
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,philly,Aggravated Assault No Firearm,0.0321882605053351,0.0022303208694033,525,3073,0.2703736233958712,0.9662412263746168
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,nyc,ASSAULT 3 & RELATED OFFENSES,0.0932653080402373,0.0026024185235625,450,2640,0.0250428712396633,0.846498076813008
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,nyc,FELONY ASSAULT,0.0793684182231515,0.0026020300728059,450,2640,0.173037410779413,0.846498076813008
AGGRESSION_TOTAL,PHASE_FirstQ,PRE,WIN3,la,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,-0.0665458770105828,0.0031208343643699,375,2206,0.2155718715485433,0.9474314725559452
