db_name,signal_title,crime_type,trigger,trigger_family_class,epoch,lag,is_primary,n_target,n_ctrl,g,ci_lo,ci_hi,p_mw,p_mw_fdr,delta_pct,slice_sign_frac,perm_pass_count,p_placebo_emp,TIER,tier_notes
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_after_syzygy,WAVE,PRE2014,1,True,247,3405,0.1085936595699636,,,0.153383531592487,0.996559298397828,1.0019358574660853,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_after_syzygy,WAVE,PRE2014,WIN3,True,741,2911,0.0604546545134259,-0.0194178677195923,0.1387379783574248,0.2439263038047269,0.9938108278784372,0.556592708098913,0.8,0,0.16,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_before_quadrature,WAVE,PRE2014,-1,True,247,3405,0.0364664302031412,,,0.5615962422894476,0.9982242650502056,0.3354538762861292,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_before_quadrature,WAVE,PRE2014,0,True,247,3405,0.0195601050049101,-0.0970286012204794,0.1475900795706165,0.8513246653225324,0.9984541737171204,0.1797986598564671,0.6,0,0.755,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_before_quadrature,WAVE,PRE2014,1,True,247,3405,-0.0055760503076175,,,0.8980549111889681,0.996559298397828,-0.0511971089097063,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_before_quadrature,WAVE,PRE2014,WIN3,True,741,2911,0.0196705925400851,-0.0615106177182192,0.0991888719587255,0.5757989810570721,0.9938108278784372,0.180811708447659,0.8,0,0.69,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_after_quadrature,WAVE,PRE2014,-1,True,247,3405,-0.0337018770115803,,,0.4608398293281759,0.9982242650502056,-0.3090274004920457,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_after_quadrature,WAVE,PRE2014,0,True,247,3405,-0.0960988014909154,-0.2312302461536533,0.0306782500461029,0.1500107475546251,0.9984541737171204,-0.8784302864373594,0.8,0,0.19,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_after_quadrature,WAVE,PRE2014,1,True,247,3405,-0.0316022319757841,,,0.3972267977404784,0.996559298397828,-0.2898040048078698,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,WAVE_after_quadrature,WAVE,PRE2014,WIN3,True,741,2911,-0.0629394524264799,-0.141200672394808,0.0229945557090254,0.0590260055478147,0.9938108278784372,-0.5761823451613579,0.8,0,0.17,NULL,p_mw >= 0.05
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Syzygy,PHASE,PRE2014,-1,True,247,2167,-0.0623016444545415,,,0.4671880873763743,0.9974630741851356,-0.5670407258607901,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_EMS,🫀 Abdomen | ABDPN — Abdominal pain,ABDPN,PHASE_Syzygy,PHASE,PRE2014,0,True,247,2167,0.0447403844945517,-0.0969508179338341,0.1811402534806002,0.5711237530412274,0.9983855909334398,0.4124399413382162,0.8,0,0.485,NULL,p_mw >= 0.05
