db_name,signal_title,crime_type,trigger,trigger_family_class,epoch,lag,is_primary,n_target,n_ctrl,g,ci_lo,ci_hi,p_mw,p_mw_fdr,delta_pct,slice_sign_frac,perm_pass_count,p_placebo_emp,TIER,tier_notes
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_syzygy,WAVE,PRE,-1,True,54,736,-0.0332144337598473,,,0.6863965029147647,0.9997535226040072,-1.3312835914310983,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_syzygy,WAVE,PRE,0,True,54,736,-0.0910632508093173,-0.3643951348829484,0.1933107347710429,0.3634431202792414,0.9940835620801448,-3.606959921670583,0.6,0,0.485,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_syzygy,WAVE,PRE,1,True,54,736,0.15920270576711,,,0.2144123124107899,0.9960568740865424,6.6294560490340215,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_syzygy,WAVE,PRE,WIN3,True,162,628,0.0136034858889885,-0.1784926768976736,0.1930722672968439,0.9645790118983076,0.9996239122196258,0.5504301341261231,0.6,0,0.84,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_before_quadrature,WAVE,PRE,-1,True,54,736,-0.0794965604078979,,,0.5334357820635842,0.9997535226040072,-3.156319023083898,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_before_quadrature,WAVE,PRE,0,True,54,736,0.0565036271474423,-0.2437942407523688,0.3456568554525204,0.6793674828899035,0.9940835620801448,2.3059930199986978,0.6,0,0.685,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_before_quadrature,WAVE,PRE,1,True,53,737,-0.1313061205201855,,,0.2201398056891453,0.9960568740865424,-5.157832943037777,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_before_quadrature,WAVE,PRE,WIN3,True,161,629,-0.0596564040844173,-0.2403838677829594,0.1157800354542777,0.3720040994874324,0.9996239122196258,-2.377836049540505,0.8,0,0.55,NULL,p_mw >= 0.05
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_quadrature,WAVE,PRE,-1,True,53,737,0.1458401827810666,,,0.2716223329719995,0.9997535226040072,6.05739884922496,,0,,DISCARDED_UNSTABLE,Slice sign-frac 0.00 < 0.40
NYC_911,NYC_911 | ALARMS: AUDIBLE/OUTSIDE,ALARMS: AUDIBLE/OUTSIDE,WAVE_after_quadrature,WAVE,PRE,0,True,53,737,0.0125558807367267,-0.2486710508210082,0.2996989618141313,0.8115894554926061,0.9940835620801448,0.5079392085440837,0.4,0,0.92,NULL,p_mw >= 0.05
