city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,status_flag,config_hash
chicago,PRE2014,ASSAULT,WAVE_event,WAVE,-1,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,1384,3729,-0.010630869955495467,0.0009907228184567935,0.6559202587991637,0.985209297535069,-0.17403183093066543,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_event,WAVE,0,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,1384,3729,-0.00636430301254431,0.0009907157248309694,0.875320006226301,0.997822310420138,-0.10422348857686003,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_event,WAVE,1,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,1384,3729,0.01610414063417026,0.0009907371334587065,0.6081024163212869,0.9856173158580755,0.26420584798494406,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_event,WAVE,WIN3,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,4152,961,-0.0011528479741389605,0.0012814306405465423,0.9187682665034266,0.9532572435483254,-0.018887474504969415,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_syzygy,WAVE,-1,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,692,4421,-0.008811340605008815,0.0016712874695240445,0.8991093374094804,0.985209297535069,-0.14426781834471214,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_syzygy,WAVE,0,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,692,4421,0.019998148516937344,0.0016713189982093162,0.6752206357020736,0.997822310420138,0.32819671419952456,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_syzygy,WAVE,1,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,692,4421,0.024364979976293107,0.0016713379501076863,0.41740592400655496,0.9856173158580755,0.40000094890932925,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_syzygy,WAVE,WIN3,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,2076,3037,0.017251065852648975,0.0008109969902049195,0.44222918955731805,0.9111037679750159,0.2830460850679284,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_quadrature,WAVE,-1,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,692,4421,-0.009122275470973835,0.00167128801503241,0.6513444837511995,0.985209297535069,-0.14935489331679985,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_quadrature,WAVE,0,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,692,4421,-0.030735589625060067,0.001671372290180114,0.5334162958645576,0.997822310420138,-0.5023048928941898,OK,524c949611
chicago,PRE2014,ASSAULT,WAVE_quadrature,WAVE,1,67.59162918052024,5113,0.6809333110101933,0.6813812044730383,692,4421,0.0028020306608041124,0.001671280642254681,0.8847906791504977,0.9856173158580755,0.04592141829218299,OK,524c949611
