city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,g_lo,g_hi,qp_coef,qp_p,model_disagree,p_perm_14,p_perm_28,p_perm_circ,slice_g_1,slice_g_2,slice_g_3,slice_g_4,slice_g_5,slice_sign_frac,slice_g_iqr,n_slices_valid,g_placebo_mean,p_placebo_emp,argmax_lag,status_flag,config_hash
nyc_ems,PRE2014,ABDPN,WAVE_event,WAVE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,988,2664,-0.0032661142679991607,0.00138752258566493,0.6796816945226593,0.9982242650502056,-0.029991360043424287,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_event,WAVE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,988,2664,0.032469458873795064,0.0013876655443302922,0.3796028630095879,0.9984541737171203,0.29861239691590935,-0.037856877881382534,0.11038808872622767,0.003392424626641799,0.36689382475691834,0.0,0.337,0.327,0.282,0.021564116977467525,-0.03087595146179941,0.0877824097622893,0.0735724750696443,0.010194705069243356,0.8,0.06337777000040094,5.0,0.004314917250632309,0.445,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_event,WAVE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,988,2664,0.002088616675446507,0.0013875217219412594,0.9484663569653086,0.996559298397828,0.019183620929075218,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_event,WAVE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,2964,688,0.04038914266020453,0.0017910937518257088,0.5468146931827802,0.9938108278784371,0.37157494584303397,-0.04352934866082458,0.12398010203372867,0.005803196342993325,0.18248127770825584,0.0,0.313,0.302,0.275,-0.07476329479987316,-0.041602435619565024,0.0799860003546202,0.19651637155459334,0.04072823300817856,0.6,0.12158843597418523,5.0,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_syzygy,WAVE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,494,3158,-0.007000634885990649,0.0023409543229850715,0.6737236905143762,0.9982242650502056,-0.0642727607331417,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_syzygy,WAVE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,494,3158,0.0960743975208031,0.002342212032707014,0.03934444675297533,0.9984541737171203,0.8857677396367336,-0.001803854534843348,0.1924794411066081,0.01074201661522075,0.035319978948293924,0.0,0.023,0.018,0.018,0.07998729346195098,0.08481826093969135,0.12482141521980225,0.05328595757058441,0.14099964336332102,1.0,0.04483412175785127,5.0,0.005545138881101962,0.055,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_syzygy,WAVE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,494,3158,0.02356709472770618,0.0023410236927200166,0.5408837580428019,0.996559298397828,0.2166667982419046,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_syzygy,WAVE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,1482,2170,0.0546362090340194,0.0011360022456553887,0.11692742489520569,0.9938108278784371,0.5028566507455867,-0.011651304117873731,0.11727789452264079,0.01006245812658001,0.01849913857410944,0.0,0.125,0.107,0.106,-0.04496828161603889,0.029275765224500636,0.039415184458922364,0.12738730259090195,0.12155702764612943,0.8,0.09228126242162879,5.0,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_quadrature,WAVE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,494,3158,0.0014902164875791966,0.002340947913650328,0.9082492927161325,0.9982242650502056,0.013687035816523085,,,,,,,,,,,,,,,,,,,0,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,WAVE_quadrature,WAVE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,494,3158,-0.04125169245435152,0.0023411807193195293,0.3579428051679724,0.9984541737171203,-0.37809989604750127,-0.14662670397186506,0.0472847239484249,-0.004409493752827759,0.3854865078151891,0.0,0.34,0.335,0.361,-0.04352328491758439,-0.13890121537770114,0.0240589964686608,0.0708877884496915,-0.12150751966673641,0.6,0.1455665161353972,5.0,-0.0020778306381691748,0.41,0,OK,bd64cffe73
