city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,status_flag,config_hash
sf,PRE2014,ASSAULT,WAVE_event,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,1186,3197,-0.017820875067150375,0.0011559998096296814,0.549555133152333,0.9883810702806235,-0.3929492822950298,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_event,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,1186,3197,-0.008529684968486908,0.0011559718676001794,0.8012599768571628,0.9656540525361588,-0.18827666067161575,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_event,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,1186,3197,0.06477986795438995,0.0011564424993927526,0.08266682830072469,0.9992894441352341,1.4409411677949846,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_event,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,3558,825,0.04961527479117943,0.0014934589346299234,0.3143594894490067,0.9986427193566229,1.1020252615494774,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_syzygy,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,592,3791,0.04265340597930447,0.0019531794690227995,0.2841224717621006,0.9692232003076364,0.9467407362354852,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_syzygy,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,592,3791,-0.015157191289940718,0.0019529980523834665,0.7576112367600661,0.9656540525361588,-0.334319489495416,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_syzygy,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,592,3791,0.006205850209975708,0.0019529762277006348,0.9251811644599677,0.9992894441352341,0.13720623753712413,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_syzygy,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,1776,2607,0.01633450489228952,0.0009466761766275454,0.6416086536291208,0.9986427193566229,0.36153609356210925,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_quadrature,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,594,3789,-0.07257155523639702,0.0019480246389356008,0.06484462217030851,0.9692232003076364,-1.5901281906676612,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_quadrature,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,594,3789,0.0007442791760244186,0.0019474236258475003,0.9852255941020877,0.9852255941020875,0.016445509669416047,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_quadrature,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,594,3789,0.10296358522082483,0.0019486335032647606,0.01896186950535086,0.9992894441352341,2.2995127046668173,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_quadrature,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,1782,2601,0.015099491690846862,0.0009456607611747085,0.7372804606730787,0.9986427193566229,0.3341571459099191,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_syzygy,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,296,4087,0.05470410077587754,0.0036233981625060545,0.38527370362064306,0.9866699864795114,1.2158545500575269,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_syzygy,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,296,4087,0.045723656073196325,0.003623295230993044,0.5522606670851276,0.9342091870471784,1.0152745167426147,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_syzygy,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,296,4087,0.01433215583185981,0.0036230800698387514,0.5353263981681733,0.9992894441352341,0.3171555176801677,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_syzygy,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,888,3495,0.044736849596144206,0.0014124775755689405,0.1935311669912132,0.9986427193566229,0.9931587248193763,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_syzygy,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,296,4087,0.024421588142513644,0.0036231246947276597,0.5547603444909808,0.9883810702806235,0.541020457042185,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_syzygy,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,296,4087,-0.07385182655109457,0.0036236790976399546,0.3102244692144638,0.9210853012799338,-1.6181718730987837,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_syzygy,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,296,4087,-0.0028193037112490974,0.0036230575336349885,0.4545640424978339,0.9992894441352341,-0.06227048888197695,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_syzygy,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,888,3495,-0.020362522263360515,0.0014122964806820581,0.4643627032834824,0.9986427193566229,-0.4488655377546724,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_quadrature,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,4086,-0.051203585416125644,0.0036120407219426354,0.2099881731064177,0.9692232003076364,-1.1248279502366842,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_quadrature,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,4086,0.04367735576571712,0.0036119592227697546,0.6584431820517221,0.9656540525361588,0.9696231545178069,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_quadrature,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,4086,0.07236712850505132,0.0036123391919413344,0.15609532682837754,0.9992894441352341,1.6114662573297966,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_before_quadrature,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,891,3492,0.025287445475374266,0.001408776279210006,0.7047186384630935,0.9986427193566229,0.5602371932444283,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_quadrature,WAVE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,4086,-0.08337049223986419,0.003612534768029927,0.20738338990026572,0.9692232003076364,-1.8247354898906498,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_quadrature,WAVE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,4086,-0.042296754716223454,0.0036119456760969446,0.6402809208588293,0.9656540525361588,-0.9301022618485311,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_quadrature,WAVE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,4086,0.11853778591167585,0.0036133451501016603,0.07558109769812917,0.9992894441352341,2.6523858270532497,OK,524c949611
sf,PRE2014,ASSAULT,WAVE_after_quadrature,WAVE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,891,3492,-0.0027931832961090256,0.0014087041891591337,0.9756990548272636,0.9986427193566229,-0.06169371683379943,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Syzygy,PHASE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,2601,0.14284899113244726,0.0037549939862436504,0.00863149585999378,0.2343885405777657,3.165526709020816,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Syzygy,PHASE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,2601,0.16484212652024974,0.003756162337833457,0.005192219220502918,0.34268646855319257,3.6521661642682446,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Syzygy,PHASE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,2601,0.025182602828580952,0.0037515803690505675,0.33827350584825466,0.8495189169242596,0.5540575449585861,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Syzygy,PHASE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,891,2601,0.1104084518322844,0.0015085483902598316,0.000793366339981329,0.05236217843876771,2.448167393486256,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Quadrature,PHASE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,2601,0.017899596724923358,0.003751526196412048,0.502290979403206,0.8823663176116666,0.3920977833489214,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Quadrature,PHASE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,2601,0.032203066179287414,0.0037516499260233102,0.4317398766476752,0.9895164001417325,0.7085667043884802,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Quadrature,PHASE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,297,2601,-0.05993667578947511,0.003752091115186526,0.44342822189044884,0.8495189169242596,-1.3074465747487274,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Quadrature,PHASE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,891,2601,-0.003299871724034797,0.001506803528213613,0.7163919513896317,0.9777455485347739,-0.0728633235002385,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Full,PHASE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,148,2601,0.126815467806382,0.007144151492199703,0.04503996309371842,0.594527512837083,2.7965803591778027,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Full,PHASE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,148,2601,0.18957333240817412,0.0071477655958555805,0.023151051383739026,0.7547427939734342,4.213317888418278,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Full,PHASE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,148,2601,0.06364160924052394,0.007141961483381315,0.32232888942441584,0.8495189169242596,1.3974487446207773,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_Full,PHASE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,444,2601,0.12687595543790464,0.002639364771002504,0.0038735346703651294,0.12782664412204928,2.7960214061470756,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_New,PHASE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,149,2601,0.15878333043340773,0.007100464271281945,0.07043037792642452,0.7747341571906697,3.533307779746875,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_New,PHASE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,149,2601,0.14001382887902772,0.007099443843016632,0.07382410311935855,0.7547427939734342,3.097771847226971,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_New,PHASE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,149,2601,-0.012629440792265774,0.0070959059300794705,0.6879702689774201,0.8794860113953147,-0.27672858960614555,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_New,PHASE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,447,2601,0.09469274939869224,0.00262307586173105,0.028318238409953848,0.31150062250949234,2.103813268576804,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_FirstQ,PHASE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,149,2601,0.008865829496511048,0.007095891210311991,0.7567218270518808,0.8823663176116666,0.19369791912557943,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_FirstQ,PHASE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,149,2601,0.001677913831162395,0.007095877420730871,0.902096339240371,0.9895164001417325,0.0367271490602894,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_FirstQ,PHASE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,149,2601,-0.05395099327547574,0.007096406513576683,0.5925249016398059,0.8495189169242596,-1.1681272140169563,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_FirstQ,PHASE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,447,2601,-0.014392778581409568,0.0026216379817715313,0.9552721777375851,0.9813545865730102,-0.3144287834066284,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_LastQ,PHASE,-1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,148,2601,0.02703649113239756,0.007141357318369671,0.5061488322598217,0.8823663176116666,0.5922350437546076,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_LastQ,PHASE,0,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,148,2601,0.06316131503853124,0.007141950398068368,0.3077156113664896,0.9895164001417325,1.3895036447374665,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_LastQ,PHASE,1,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,148,2601,-0.06631303643566945,0.007142024673110947,0.56353766761675,0.8495189169242596,-1.4475088952279114,OK,524c949611
sf,PRE2014,ASSAULT,PHASE_LastQ,PHASE,WIN3,29.411133926534337,4383,0.10461815026576404,0.10698340133704898,444,2601,0.0077445794766349265,0.0026367296199086804,0.5435642684090682,0.9777455485347739,0.17092566426109013,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_event,WAVE,-1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,1186,3197,-0.026219869784071263,0.0011560420257884735,0.3038175258338388,0.9692232003076364,-0.7033317549201334,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_event,WAVE,0,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,1186,3197,-0.0119133852114078,0.0011559797622842166,0.6646844081045338,0.9656540525361588,-0.320201822758559,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_event,WAVE,1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,1186,3197,0.003759727839642906,0.0011559651773499816,0.6492422100295137,0.9992894441352341,0.10126667456613614,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_event,WAVE,WIN3,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,3558,825,-0.0444050601327332,0.0014934030266035353,0.2524564507749788,0.9986427193566229,-1.1881330469271312,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_syzygy,WAVE,-1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,592,3791,0.0026059116159123596,0.001952972607316992,0.9561626631678058,0.9883810702806235,0.07017829242241813,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_syzygy,WAVE,0,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,592,3791,0.022773538817423805,0.0019530310235798222,0.5331922532126665,0.9330864431221664,0.6149506087452572,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_syzygy,WAVE,1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,592,3791,-0.012596609727235137,0.0019529899416928502,0.7989569396919509,0.9992894441352341,-0.3385356640422166,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_syzygy,WAVE,WIN3,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,1776,2607,0.006195856676404553,0.0009466501063912841,0.8272562547564615,0.9986427193566229,0.16693697563725518,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_quadrature,WAVE,-1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,594,3789,-0.046773480117820676,0.0019476732497336953,0.200633311483159,0.9692232003076364,-1.2511340913451963,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_quadrature,WAVE,0,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,594,3789,-0.04278264977166294,0.0019476324595806655,0.2360668991572462,0.9210853012799338,-1.1450216455443751,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_quadrature,WAVE,1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,594,3789,0.018895015266883204,0.0019474643092132209,0.39828939572091004,0.9992894441352341,0.5099576513371451,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_quadrature,WAVE,WIN3,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,1782,2601,-0.034311725073501366,0.0009457691039992004,0.2589663047160903,0.9986427193566229,-0.9193223156296004,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_before_syzygy,WAVE,-1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,296,4087,0.012522073357170404,0.0036230745222046922,0.9844781461918924,0.9883810702806235,0.3376737175056155,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_before_syzygy,WAVE,0,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,296,4087,0.06073940515223916,0.0036234776805038347,0.27202032506707285,0.9210853012799338,1.6484133852317173,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_before_syzygy,WAVE,1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,296,4087,-0.02463039607553791,0.003623125863689476,0.8278549661417656,0.9992894441352341,-0.6608684367645168,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_before_syzygy,WAVE,WIN3,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,888,3495,0.018954108020809945,0.0014122901608804078,0.5740026741803455,0.9986427193566229,0.5115524179463149,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_after_syzygy,WAVE,-1,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,296,4087,-0.007687669543512327,0.003623063371547519,0.9248314925143464,0.9883810702806235,-0.20674523598347427,OK,524c949611
sf,PRE2014,BURGLARY,WAVE_after_syzygy,WAVE,0,16.301391740816793,4383,0.22092935278784898,0.2234580139341208,296,4087,-0.018485483628025982,0.003623095625923455,0.8028530282188355,0.9656540525361588,-0.4964058772847557,OK,524c949611
